Sample Name, Sample-13
Time, February 06 09:59:49 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1901, 6.46
301.0, 1.0490, 8.93
302.0, 0.9279, 11.81
303.0, 0.8249, 14.97
304.0, 0.7305, 18.60
305.0, 0.6423, 22.79
306.0, 0.5663, 27.15
307.0, 0.5060, 31.19
308.0, 0.4567, 34.94
309.0, 0.4171, 38.27
310.0, 0.3854, 41.17
311.0, 0.3589, 43.77
312.0, 0.3381, 45.91
313.0, 0.3219, 47.65
314.0, 0.3097, 49.01
315.0, 0.2995, 50.17
316.0, 0.2909, 51.18
317.0, 0.2829, 52.13
318.0, 0.2756, 53.02
319.0, 0.2693, 53.80
320.0, 0.2635, 54.51
321.0, 0.2585, 55.14
322.0, 0.2538, 55.75
323.0, 0.2492, 56.34
324.0, 0.2449, 56.90
325.0, 0.2407, 57.45
326.0, 0.2366, 57.99
327.0, 0.2330, 58.48
328.0, 0.2293, 58.98
329.0, 0.2258, 59.46
330.0, 0.2236, 59.76
331.0, 0.2174, 60.62
332.0, 0.2133, 61.19
333.0, 0.2096, 61.72
334.0, 0.2057, 62.27
335.0, 0.2016, 62.86
336.0, 0.1975, 63.45
337.0, 0.1940, 63.97
338.0, 0.1908, 64.44
339.0, 0.1888, 64.75
340.0, 0.1796, 66.13
341.0, 0.1763, 66.64
342.0, 0.1730, 67.14
343.0, 0.1702, 67.58
344.0, 0.1672, 68.05
345.0, 0.1635, 68.63
346.0, 0.1607, 69.08
347.0, 0.1579, 69.52
348.0, 0.1549, 70.00
349.0, 0.1522, 70.44
350.0, 0.1498, 70.83
351.0, 0.1471, 71.27
352.0, 0.1448, 71.65
353.0, 0.1418, 72.14
354.0, 0.1391, 72.59
355.0, 0.1364, 73.04
356.0, 0.1341, 73.44
357.0, 0.1316, 73.87
358.0, 0.1288, 74.33
359.0, 0.1267, 74.70
360.0, 0.1244, 75.09
361.0, 0.1222, 75.47
362.0, 0.1202, 75.83
363.0, 0.1188, 76.07
364.0, 0.1168, 76.42
365.0, 0.1151, 76.72
366.0, 0.1133, 77.04
367.0, 0.1116, 77.33
368.0, 0.1094, 77.74
369.0, 0.1079, 78.00
370.0, 0.1072, 78.13
371.0, 0.1035, 78.80
372.0, 0.1016, 79.14
373.0, 0.0997, 79.49
374.0, 0.0983, 79.74
375.0, 0.0968, 80.01
376.0, 0.0954, 80.28
377.0, 0.0940, 80.53
378.0, 0.0922, 80.86
379.0, 0.0908, 81.13
380.0, 0.0894, 81.39
381.0, 0.0876, 81.74
382.0, 0.0864, 81.96
383.0, 0.0851, 82.21
384.0, 0.0846, 82.31
385.0, 0.0823, 82.74
386.0, 0.0810, 82.98
387.0, 0.0798, 83.21
388.0, 0.0787, 83.43
389.0, 0.0776, 83.64
390.0, 0.0765, 83.85
391.0, 0.0752, 84.11
392.0, 0.0741, 84.31
393.0, 0.0730, 84.53
394.0, 0.0717, 84.78
395.0, 0.0707, 84.97
396.0, 0.0698, 85.16
397.0, 0.0686, 85.39
398.0, 0.0677, 85.58
399.0, 0.0670, 85.71
400.0, 0.0661, 85.88
401.0, 0.0650, 86.10
402.0, 0.0640, 86.30
403.0, 0.0631, 86.47
404.0, 0.0625, 86.60
405.0, 0.0616, 86.77
406.0, 0.0606, 86.97
407.0, 0.0599, 87.12
408.0, 0.0591, 87.27
409.0, 0.0584, 87.42
410.0, 0.0576, 87.57
411.0, 0.0569, 87.72
412.0, 0.0563, 87.83
413.0, 0.0557, 87.97
414.0, 0.0549, 88.12
415.0, 0.0543, 88.25
416.0, 0.0537, 88.37
417.0, 0.0530, 88.52
418.0, 0.0524, 88.64
419.0, 0.0517, 88.78
420.0, 0.0513, 88.87
421.0, 0.0506, 89.00
422.0, 0.0501, 89.11
423.0, 0.0496, 89.22
424.0, 0.0491, 89.32
425.0, 0.0487, 89.40
426.0, 0.0481, 89.51
427.0, 0.0475, 89.63
428.0, 0.0471, 89.72
429.0, 0.0466, 89.82
430.0, 0.0462, 89.91
431.0, 0.0457, 90.01
432.0, 0.0452, 90.12
433.0, 0.0448, 90.21
434.0, 0.0444, 90.28
435.0, 0.0440, 90.37
436.0, 0.0436, 90.45
437.0, 0.0432, 90.53
438.0, 0.0428, 90.62
439.0, 0.0424, 90.69
440.0, 0.0421, 90.77
441.0, 0.0416, 90.86
442.0, 0.0413, 90.92
443.0, 0.0409, 91.02
444.0, 0.0406, 91.08
445.0, 0.0402, 91.16
446.0, 0.0398, 91.25
447.0, 0.0395, 91.30
448.0, 0.0393, 91.35
449.0, 0.0391, 91.39
450.0, 0.0389, 91.44
