Sample Name, Sample-31
Time, February 06 10:45:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9373, 11.55
301.0, 0.8442, 14.31
302.0, 0.7614, 17.32
303.0, 0.6905, 20.39
304.0, 0.6324, 23.31
305.0, 0.5773, 26.46
306.0, 0.5253, 29.83
307.0, 0.4838, 32.83
308.0, 0.4503, 35.45
309.0, 0.4234, 37.72
310.0, 0.4017, 39.66
311.0, 0.3834, 41.36
312.0, 0.3687, 42.79
313.0, 0.3576, 43.89
314.0, 0.3483, 44.84
315.0, 0.3408, 45.63
316.0, 0.3345, 46.29
317.0, 0.3284, 46.94
318.0, 0.3228, 47.56
319.0, 0.3178, 48.11
320.0, 0.3131, 48.63
321.0, 0.3093, 49.06
322.0, 0.3056, 49.47
323.0, 0.3019, 49.90
324.0, 0.2985, 50.29
325.0, 0.2954, 50.66
326.0, 0.2923, 51.02
327.0, 0.2893, 51.36
328.0, 0.2867, 51.68
329.0, 0.2837, 52.03
330.0, 0.2821, 52.23
331.0, 0.2774, 52.80
332.0, 0.2740, 53.21
333.0, 0.2713, 53.55
334.0, 0.2685, 53.89
335.0, 0.2657, 54.24
336.0, 0.2628, 54.60
337.0, 0.2601, 54.94
338.0, 0.2578, 55.23
339.0, 0.2558, 55.48
340.0, 0.2370, 57.94
341.0, 0.2355, 58.14
342.0, 0.2338, 58.38
343.0, 0.2325, 58.55
344.0, 0.2315, 58.68
345.0, 0.2292, 58.99
346.0, 0.2280, 59.15
347.0, 0.2263, 59.39
348.0, 0.2247, 59.61
349.0, 0.2232, 59.81
350.0, 0.2214, 60.06
351.0, 0.2204, 60.21
352.0, 0.2191, 60.38
353.0, 0.2172, 60.64
354.0, 0.2155, 60.88
355.0, 0.2135, 61.17
356.0, 0.2112, 61.48
357.0, 0.2095, 61.73
358.0, 0.2073, 62.05
359.0, 0.2049, 62.39
360.0, 0.2030, 62.66
361.0, 0.2011, 62.94
362.0, 0.1993, 63.19
363.0, 0.1976, 63.45
364.0, 0.1959, 63.69
365.0, 0.1938, 64.00
366.0, 0.1916, 64.33
367.0, 0.1897, 64.60
368.0, 0.1874, 64.96
369.0, 0.1850, 65.32
370.0, 0.1840, 65.46
371.0, 0.1857, 65.21
372.0, 0.1837, 65.50
373.0, 0.1822, 65.74
374.0, 0.1807, 65.96
375.0, 0.1794, 66.17
376.0, 0.1779, 66.38
377.0, 0.1768, 66.57
378.0, 0.1752, 66.81
379.0, 0.1735, 67.06
380.0, 0.1720, 67.30
381.0, 0.1703, 67.56
382.0, 0.1691, 67.75
383.0, 0.1676, 67.98
384.0, 0.1670, 68.07
385.0, 0.1650, 68.39
386.0, 0.1636, 68.61
387.0, 0.1623, 68.82
388.0, 0.1611, 69.01
389.0, 0.1597, 69.23
390.0, 0.1583, 69.46
391.0, 0.1568, 69.69
392.0, 0.1557, 69.88
393.0, 0.1544, 70.09
394.0, 0.1530, 70.31
395.0, 0.1518, 70.51
396.0, 0.1506, 70.70
397.0, 0.1492, 70.92
398.0, 0.1481, 71.10
399.0, 0.1472, 71.26
400.0, 0.1459, 71.47
401.0, 0.1446, 71.68
402.0, 0.1434, 71.87
403.0, 0.1422, 72.07
404.0, 0.1412, 72.24
405.0, 0.1402, 72.40
406.0, 0.1389, 72.63
407.0, 0.1378, 72.81
408.0, 0.1367, 73.00
409.0, 0.1358, 73.15
410.0, 0.1347, 73.34
411.0, 0.1338, 73.48
412.0, 0.1328, 73.66
413.0, 0.1317, 73.84
414.0, 0.1306, 74.02
415.0, 0.1297, 74.18
416.0, 0.1286, 74.37
417.0, 0.1277, 74.53
418.0, 0.1267, 74.70
419.0, 0.1256, 74.88
420.0, 0.1250, 74.99
421.0, 0.1239, 75.17
422.0, 0.1230, 75.34
423.0, 0.1220, 75.51
424.0, 0.1213, 75.63
425.0, 0.1205, 75.78
426.0, 0.1195, 75.95
427.0, 0.1187, 76.09
428.0, 0.1179, 76.23
429.0, 0.1170, 76.38
430.0, 0.1162, 76.53
431.0, 0.1154, 76.66
432.0, 0.1145, 76.82
433.0, 0.1138, 76.96
434.0, 0.1130, 77.09
435.0, 0.1124, 77.20
436.0, 0.1116, 77.34
437.0, 0.1108, 77.48
438.0, 0.1100, 77.62
439.0, 0.1093, 77.75
440.0, 0.1085, 77.90
441.0, 0.1077, 78.03
442.0, 0.1070, 78.16
443.0, 0.1061, 78.32
444.0, 0.1053, 78.47
445.0, 0.1047, 78.59
446.0, 0.1040, 78.71
447.0, 0.1033, 78.83
448.0, 0.1029, 78.91
449.0, 0.1023, 79.01
450.0, 0.1020, 79.07
