Sample Name, Sample-99
Time, February 06 14:38:56 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2498, 5.63
301.0, 1.2426, 5.72
302.0, 1.2330, 5.85
303.0, 1.2185, 6.05
304.0, 1.2000, 6.31
305.0, 1.1741, 6.70
306.0, 1.1378, 7.28
307.0, 1.0977, 7.99
308.0, 1.0549, 8.81
309.0, 1.0148, 9.67
310.0, 0.9767, 10.55
311.0, 0.9413, 11.45
312.0, 0.9124, 12.23
313.0, 0.8867, 12.98
314.0, 0.8658, 13.62
315.0, 0.8470, 14.22
316.0, 0.8314, 14.74
317.0, 0.8157, 15.28
318.0, 0.8005, 15.83
319.0, 0.7866, 16.35
320.0, 0.7737, 16.84
321.0, 0.7616, 17.31
322.0, 0.7499, 17.79
323.0, 0.7387, 18.25
324.0, 0.7279, 18.71
325.0, 0.7176, 19.16
326.0, 0.7076, 19.61
327.0, 0.6981, 20.04
328.0, 0.6893, 20.45
329.0, 0.6803, 20.88
330.0, 0.6747, 21.15
331.0, 0.6577, 22.00
332.0, 0.6459, 22.60
333.0, 0.6356, 23.14
334.0, 0.6248, 23.72
335.0, 0.6142, 24.31
336.0, 0.6039, 24.90
337.0, 0.5935, 25.50
338.0, 0.5841, 26.06
339.0, 0.5763, 26.53
340.0, 0.4625, 34.47
341.0, 0.4599, 34.68
342.0, 0.4564, 34.96
343.0, 0.4531, 35.23
344.0, 0.4498, 35.50
345.0, 0.4471, 35.72
346.0, 0.4442, 35.96
347.0, 0.4404, 36.28
348.0, 0.4378, 36.49
349.0, 0.4341, 36.80
350.0, 0.4310, 37.07
351.0, 0.4276, 37.36
352.0, 0.4237, 37.70
353.0, 0.4194, 38.07
354.0, 0.4144, 38.51
355.0, 0.4087, 39.02
356.0, 0.4029, 39.54
357.0, 0.3973, 40.06
358.0, 0.3914, 40.61
359.0, 0.3851, 41.20
360.0, 0.3791, 41.77
361.0, 0.3733, 42.34
362.0, 0.3679, 42.87
363.0, 0.3627, 43.38
364.0, 0.3569, 43.97
365.0, 0.3511, 44.56
366.0, 0.3434, 45.35
367.0, 0.3360, 46.13
368.0, 0.3279, 47.00
369.0, 0.3207, 47.79
370.0, 0.3161, 48.29
371.0, 0.3363, 46.10
372.0, 0.3322, 46.54
373.0, 0.3281, 46.98
374.0, 0.3242, 47.41
375.0, 0.3212, 47.73
376.0, 0.3177, 48.12
377.0, 0.3140, 48.53
378.0, 0.3101, 48.97
379.0, 0.3066, 49.36
380.0, 0.3028, 49.79
381.0, 0.2994, 50.19
382.0, 0.2959, 50.59
383.0, 0.2926, 50.99
384.0, 0.2903, 51.25
385.0, 0.2856, 51.81
386.0, 0.2822, 52.22
387.0, 0.2791, 52.59
388.0, 0.2761, 52.96
389.0, 0.2728, 53.35
390.0, 0.2694, 53.77
391.0, 0.2663, 54.17
392.0, 0.2629, 54.59
393.0, 0.2597, 54.99
394.0, 0.2565, 55.40
395.0, 0.2534, 55.79
396.0, 0.2501, 56.22
397.0, 0.2472, 56.60
398.0, 0.2446, 56.94
399.0, 0.2419, 57.29
400.0, 0.2391, 57.67
401.0, 0.2363, 58.03
402.0, 0.2335, 58.41
403.0, 0.2308, 58.78
404.0, 0.2278, 59.18
405.0, 0.2251, 59.55
406.0, 0.2227, 59.89
407.0, 0.2198, 60.28
408.0, 0.2172, 60.64
409.0, 0.2149, 60.97
410.0, 0.2127, 61.28
411.0, 0.2106, 61.57
412.0, 0.2085, 61.88
413.0, 0.2062, 62.20
414.0, 0.2038, 62.55
415.0, 0.2013, 62.90
416.0, 0.1990, 63.24
417.0, 0.1968, 63.57
418.0, 0.1947, 63.87
419.0, 0.1926, 64.18
420.0, 0.1904, 64.51
421.0, 0.1882, 64.84
422.0, 0.1864, 65.10
423.0, 0.1847, 65.36
424.0, 0.1830, 65.61
425.0, 0.1812, 65.89
426.0, 0.1793, 66.18
427.0, 0.1774, 66.47
428.0, 0.1756, 66.74
429.0, 0.1737, 67.04
430.0, 0.1719, 67.32
431.0, 0.1699, 67.62
432.0, 0.1682, 67.89
433.0, 0.1666, 68.14
434.0, 0.1649, 68.41
435.0, 0.1634, 68.64
436.0, 0.1622, 68.84
437.0, 0.1605, 69.11
438.0, 0.1588, 69.38
439.0, 0.1570, 69.66
440.0, 0.1552, 69.95
441.0, 0.1538, 70.17
442.0, 0.1522, 70.44
443.0, 0.1504, 70.73
444.0, 0.1490, 70.95
445.0, 0.1475, 71.20
446.0, 0.1460, 71.45
447.0, 0.1444, 71.72
448.0, 0.1431, 71.92
449.0, 0.1420, 72.11
450.0, 0.1413, 72.23
