Sample Name, Sample-65
Time, February 13 18:36:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5031, 0.31
231.0, 2.5058, 0.31
232.0, 2.5142, 0.31
233.0, 2.5117, 0.31
234.0, 2.5249, 0.30
235.0, 2.5362, 0.29
236.0, 2.5403, 0.29
237.0, 2.5323, 0.29
238.0, 2.5341, 0.29
239.0, 2.5357, 0.29
240.0, 2.5259, 0.30
241.0, 2.5236, 0.30
242.0, 2.5218, 0.30
243.0, 2.5088, 0.31
244.0, 2.5040, 0.31
245.0, 2.5020, 0.31
246.0, 2.4984, 0.32
247.0, 2.4885, 0.32
248.0, 2.4734, 0.34
249.0, 2.4686, 0.34
250.0, 2.4679, 0.34
251.0, 2.4550, 0.35
252.0, 2.4428, 0.36
253.0, 2.4348, 0.37
254.0, 2.4316, 0.37
255.0, 2.4160, 0.38
256.0, 2.4091, 0.39
257.0, 2.3989, 0.40
258.0, 2.3947, 0.40
259.0, 2.3856, 0.41
260.0, 2.3743, 0.42
261.0, 2.3670, 0.43
262.0, 2.3503, 0.45
263.0, 2.3360, 0.46
264.0, 2.3326, 0.46
265.0, 2.3202, 0.48
266.0, 2.3075, 0.49
267.0, 2.2992, 0.50
268.0, 2.2937, 0.51
269.0, 2.2797, 0.53
270.0, 2.2862, 0.52
271.0, 2.2843, 0.52
272.0, 2.2679, 0.54
273.0, 2.2556, 0.56
274.0, 2.2588, 0.55
275.0, 2.2551, 0.56
276.0, 2.2481, 0.56
277.0, 2.2484, 0.56
278.0, 2.2385, 0.58
279.0, 2.2403, 0.57
280.0, 2.2367, 0.58
281.0, 2.2288, 0.59
282.0, 2.2239, 0.60
283.0, 2.2219, 0.60
284.0, 2.2167, 0.61
285.0, 2.2053, 0.62
286.0, 2.2008, 0.63
287.0, 2.2050, 0.62
288.0, 2.1998, 0.63
289.0, 2.1863, 0.65
290.0, 2.1811, 0.66
291.0, 2.1761, 0.67
292.0, 2.1694, 0.68
293.0, 2.1646, 0.68
294.0, 2.1401, 0.72
295.0, 2.0887, 0.82
296.0, 2.0039, 0.99
297.0, 1.8953, 1.27
298.0, 1.8235, 1.50
299.0, 1.5186, 3.03
300.0, 1.3426, 4.54
301.0, 1.1908, 6.45
302.0, 1.0569, 8.77
303.0, 0.9395, 11.50
304.0, 0.8450, 14.29
305.0, 0.7601, 17.38
306.0, 0.6859, 20.61
307.0, 0.6218, 23.89
308.0, 0.5739, 26.67
309.0, 0.5353, 29.15
310.0, 0.5036, 31.37
311.0, 0.4773, 33.32
312.0, 0.4571, 34.91
313.0, 0.4415, 36.18
314.0, 0.4292, 37.22
315.0, 0.4188, 38.12
316.0, 0.4103, 38.88
317.0, 0.4025, 39.58
318.0, 0.3951, 40.26
319.0, 0.3889, 40.84
320.0, 0.3835, 41.36
321.0, 0.3785, 41.83
322.0, 0.3740, 42.26
323.0, 0.3695, 42.71
324.0, 0.3654, 43.11
325.0, 0.3618, 43.47
326.0, 0.3582, 43.83
327.0, 0.3545, 44.20
328.0, 0.3515, 44.51
329.0, 0.3485, 44.83
330.0, 0.3463, 45.05
331.0, 0.3409, 45.62
332.0, 0.3374, 45.98
333.0, 0.3338, 46.36
334.0, 0.3307, 46.70
335.0, 0.3273, 47.06
336.0, 0.3244, 47.38
337.0, 0.3214, 47.70
338.0, 0.3184, 48.04
339.0, 0.3166, 48.23
340.0, 0.3063, 49.40
341.0, 0.3040, 49.66
342.0, 0.3007, 50.04
343.0, 0.2984, 50.30
344.0, 0.2955, 50.64
345.0, 0.2927, 50.97
346.0, 0.2896, 51.33
347.0, 0.2870, 51.64
348.0, 0.2847, 51.92
349.0, 0.2823, 52.21
350.0, 0.2797, 52.51
351.0, 0.2773, 52.81
352.0, 0.2752, 53.07
353.0, 0.2728, 53.36
354.0, 0.2696, 53.76
355.0, 0.2668, 54.10
356.0, 0.2643, 54.41
357.0, 0.2622, 54.68
358.0, 0.2592, 55.06
359.0, 0.2562, 55.44
360.0, 0.2536, 55.78
361.0, 0.2511, 56.09
362.0, 0.2486, 56.41
363.0, 0.2464, 56.70
364.0, 0.2437, 57.05
365.0, 0.2410, 57.41
366.0, 0.2383, 57.77
367.0, 0.2359, 58.09
368.0, 0.2333, 58.44
369.0, 0.2308, 58.78
370.0, 0.2294, 58.97
371.0, 0.2273, 59.25
372.0, 0.2250, 59.57
373.0, 0.2227, 59.88
374.0, 0.2206, 60.17
375.0, 0.2186, 60.45
376.0, 0.2165, 60.74
377.0, 0.2142, 61.06
378.0, 0.2123, 61.33
379.0, 0.2099, 61.67
380.0, 0.2076, 62.01
381.0, 0.2056, 62.29
382.0, 0.2034, 62.60
383.0, 0.2015, 62.88
384.0, 0.2002, 63.06
385.0, 0.1973, 63.49
386.0, 0.1954, 63.77
387.0, 0.1935, 64.05
388.0, 0.1917, 64.32
389.0, 0.1900, 64.57
390.0, 0.1880, 64.87
391.0, 0.1860, 65.17
392.0, 0.1842, 65.44
393.0, 0.1821, 65.74
394.0, 0.1804, 66.01
395.0, 0.1787, 66.27
396.0, 0.1767, 66.57
397.0, 0.1750, 66.84
398.0, 0.1734, 67.08
399.0, 0.1720, 67.30
400.0, 0.1706, 67.52
401.0, 0.1689, 67.78
402.0, 0.1671, 68.06
403.0, 0.1656, 68.30
404.0, 0.1638, 68.58
405.0, 0.1623, 68.81
406.0, 0.1608, 69.05
407.0, 0.1593, 69.30
408.0, 0.1577, 69.55
409.0, 0.1561, 69.80
410.0, 0.1548, 70.02
411.0, 0.1535, 70.23
412.0, 0.1524, 70.41
413.0, 0.1509, 70.65
414.0, 0.1494, 70.89
415.0, 0.1482, 71.09
416.0, 0.1468, 71.32
417.0, 0.1456, 71.51
418.0, 0.1442, 71.74
419.0, 0.1428, 71.98
420.0, 0.1416, 72.17
421.0, 0.1403, 72.39
422.0, 0.1392, 72.57
423.0, 0.1381, 72.77
424.0, 0.1369, 72.97
425.0, 0.1358, 73.15
426.0, 0.1346, 73.35
427.0, 0.1334, 73.55
428.0, 0.1321, 73.77
429.0, 0.1311, 73.94
430.0, 0.1300, 74.13
431.0, 0.1287, 74.35
432.0, 0.1277, 74.52
433.0, 0.1266, 74.71
434.0, 0.1256, 74.89
435.0, 0.1247, 75.05
436.0, 0.1236, 75.23
437.0, 0.1225, 75.42
438.0, 0.1214, 75.62
439.0, 0.1204, 75.79
440.0, 0.1193, 75.98
441.0, 0.1182, 76.17
442.0, 0.1173, 76.33
443.0, 0.1164, 76.50
444.0, 0.1152, 76.69
445.0, 0.1142, 76.89
446.0, 0.1134, 77.02
447.0, 0.1123, 77.21
448.0, 0.1116, 77.35
449.0, 0.1106, 77.52
450.0, 0.1102, 77.58
451.0, 0.1085, 77.90
452.0, 0.1076, 78.06
453.0, 0.1067, 78.22
454.0, 0.1059, 78.36
455.0, 0.1049, 78.53
456.0, 0.1040, 78.70
457.0, 0.1033, 78.83
458.0, 0.1024, 79.00
459.0, 0.1017, 79.12
460.0, 0.1009, 79.27
461.0, 0.1001, 79.41
462.0, 0.0992, 79.59
463.0, 0.0984, 79.72
464.0, 0.0974, 79.91
465.0, 0.0967, 80.03
466.0, 0.0960, 80.17
467.0, 0.0954, 80.28
468.0, 0.0944, 80.46
469.0, 0.0937, 80.59
470.0, 0.0930, 80.72
471.0, 0.0923, 80.85
472.0, 0.0916, 80.98
473.0, 0.0908, 81.14
474.0, 0.0901, 81.26
475.0, 0.0897, 81.34
476.0, 0.0884, 81.58
477.0, 0.0878, 81.69
478.0, 0.0872, 81.82
479.0, 0.0864, 81.96
480.0, 0.0857, 82.09
481.0, 0.0851, 82.21
482.0, 0.0844, 82.34
483.0, 0.0837, 82.47
484.0, 0.0829, 82.61
485.0, 0.0823, 82.74
486.0, 0.0817, 82.86
487.0, 0.0808, 83.02
488.0, 0.0801, 83.15
489.0, 0.0795, 83.28
490.0, 0.0786, 83.44
491.0, 0.0781, 83.53
492.0, 0.0775, 83.66
493.0, 0.0770, 83.75
494.0, 0.0764, 83.86
495.0, 0.0759, 83.97
496.0, 0.0753, 84.09
497.0, 0.0748, 84.18
498.0, 0.0740, 84.33
499.0, 0.0734, 84.44
500.0, 0.0727, 84.58
501.0, 0.0722, 84.69
502.0, 0.0717, 84.78
503.0, 0.0709, 84.94
504.0, 0.0704, 85.04
505.0, 0.0698, 85.15
506.0, 0.0691, 85.29
507.0, 0.0686, 85.39
508.0, 0.0680, 85.50
509.0, 0.0676, 85.59
510.0, 0.0668, 85.73
511.0, 0.0664, 85.82
512.0, 0.0660, 85.91
513.0, 0.0654, 86.03
514.0, 0.0648, 86.14
515.0, 0.0643, 86.24
516.0, 0.0638, 86.34
517.0, 0.0634, 86.42
518.0, 0.0628, 86.53
519.0, 0.0623, 86.64
520.0, 0.0620, 86.70
521.0, 0.0615, 86.80
522.0, 0.0611, 86.87
523.0, 0.0605, 86.99
524.0, 0.0600, 87.09
525.0, 0.0595, 87.20
526.0, 0.0591, 87.28
527.0, 0.0587, 87.35
528.0, 0.0581, 87.48
529.0, 0.0577, 87.56
530.0, 0.0572, 87.65
531.0, 0.0568, 87.74
532.0, 0.0564, 87.82
533.0, 0.0560, 87.89
534.0, 0.0554, 88.02
535.0, 0.0550, 88.11
