Sample Name, Sample-115
Time, February 06 15:02:16 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0965, 8.01
301.0, 1.0173, 9.61
302.0, 0.9283, 11.80
303.0, 0.8415, 14.40
304.0, 0.7599, 17.38
305.0, 0.6786, 20.96
306.0, 0.5998, 25.13
307.0, 0.5336, 29.27
308.0, 0.4783, 33.24
309.0, 0.4344, 36.78
310.0, 0.3978, 40.01
311.0, 0.3679, 42.86
312.0, 0.3456, 45.13
313.0, 0.3273, 47.06
314.0, 0.3127, 48.68
315.0, 0.3008, 50.02
316.0, 0.2916, 51.09
317.0, 0.2828, 52.14
318.0, 0.2743, 53.17
319.0, 0.2673, 54.04
320.0, 0.2610, 54.83
321.0, 0.2555, 55.53
322.0, 0.2504, 56.19
323.0, 0.2457, 56.79
324.0, 0.2413, 57.37
325.0, 0.2370, 57.94
326.0, 0.2331, 58.47
327.0, 0.2291, 59.01
328.0, 0.2255, 59.50
329.0, 0.2221, 59.96
330.0, 0.2199, 60.27
331.0, 0.2134, 61.18
332.0, 0.2089, 61.82
333.0, 0.2051, 62.35
334.0, 0.2012, 62.92
335.0, 0.1974, 63.47
336.0, 0.1937, 64.01
337.0, 0.1903, 64.53
338.0, 0.1868, 65.05
339.0, 0.1843, 65.41
340.0, 0.1577, 69.54
341.0, 0.1560, 69.83
342.0, 0.1541, 70.12
343.0, 0.1519, 70.48
344.0, 0.1502, 70.76
345.0, 0.1482, 71.09
346.0, 0.1463, 71.39
347.0, 0.1448, 71.65
348.0, 0.1432, 71.91
349.0, 0.1411, 72.26
350.0, 0.1398, 72.48
351.0, 0.1378, 72.81
352.0, 0.1361, 73.09
353.0, 0.1342, 73.41
354.0, 0.1322, 73.75
355.0, 0.1298, 74.17
356.0, 0.1277, 74.53
357.0, 0.1259, 74.83
358.0, 0.1238, 75.19
359.0, 0.1220, 75.52
360.0, 0.1195, 75.95
361.0, 0.1178, 76.24
362.0, 0.1160, 76.57
363.0, 0.1144, 76.84
364.0, 0.1129, 77.11
365.0, 0.1112, 77.41
366.0, 0.1089, 77.83
367.0, 0.1066, 78.24
368.0, 0.1041, 78.69
369.0, 0.1016, 79.14
370.0, 0.1001, 79.41
371.0, 0.1041, 78.68
372.0, 0.1029, 78.91
373.0, 0.1016, 79.13
374.0, 0.1004, 79.35
375.0, 0.0995, 79.52
376.0, 0.0982, 79.76
377.0, 0.0970, 79.97
378.0, 0.0958, 80.20
379.0, 0.0943, 80.48
380.0, 0.0929, 80.75
381.0, 0.0918, 80.94
382.0, 0.0908, 81.13
383.0, 0.0895, 81.38
384.0, 0.0887, 81.54
385.0, 0.0872, 81.81
386.0, 0.0861, 82.02
387.0, 0.0850, 82.22
388.0, 0.0840, 82.42
389.0, 0.0828, 82.64
390.0, 0.0816, 82.87
391.0, 0.0808, 83.03
392.0, 0.0797, 83.24
393.0, 0.0788, 83.40
394.0, 0.0779, 83.58
395.0, 0.0767, 83.80
396.0, 0.0756, 84.03
397.0, 0.0746, 84.22
398.0, 0.0740, 84.33
399.0, 0.0729, 84.56
400.0, 0.0720, 84.71
401.0, 0.0711, 84.89
402.0, 0.0704, 85.04
403.0, 0.0696, 85.19
404.0, 0.0685, 85.41
405.0, 0.0675, 85.60
406.0, 0.0667, 85.76
407.0, 0.0658, 85.94
408.0, 0.0650, 86.10
409.0, 0.0641, 86.29
410.0, 0.0635, 86.40
411.0, 0.0629, 86.51
412.0, 0.0623, 86.63
413.0, 0.0615, 86.79
414.0, 0.0607, 86.96
415.0, 0.0599, 87.11
416.0, 0.0592, 87.26
417.0, 0.0585, 87.41
418.0, 0.0579, 87.51
419.0, 0.0573, 87.65
420.0, 0.0566, 87.79
421.0, 0.0558, 87.94
422.0, 0.0553, 88.05
423.0, 0.0547, 88.16
424.0, 0.0541, 88.29
425.0, 0.0535, 88.41
426.0, 0.0530, 88.52
427.0, 0.0525, 88.62
428.0, 0.0520, 88.72
429.0, 0.0513, 88.86
430.0, 0.0506, 88.99
431.0, 0.0500, 89.12
432.0, 0.0495, 89.23
433.0, 0.0490, 89.32
434.0, 0.0486, 89.42
435.0, 0.0481, 89.51
436.0, 0.0477, 89.59
437.0, 0.0472, 89.69
438.0, 0.0467, 89.80
439.0, 0.0461, 89.93
440.0, 0.0455, 90.06
441.0, 0.0450, 90.15
442.0, 0.0447, 90.22
443.0, 0.0440, 90.37
444.0, 0.0436, 90.45
445.0, 0.0431, 90.55
446.0, 0.0427, 90.64
447.0, 0.0424, 90.69
448.0, 0.0420, 90.79
449.0, 0.0417, 90.84
450.0, 0.0415, 90.88
