Sample Name, Sample-116
Time, February 06 15:03:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2388, 5.77
301.0, 1.2338, 5.84
302.0, 1.2277, 5.92
303.0, 1.2211, 6.01
304.0, 1.2121, 6.14
305.0, 1.1983, 6.33
306.0, 1.1803, 6.60
307.0, 1.1599, 6.92
308.0, 1.1370, 7.29
309.0, 1.1123, 7.72
310.0, 1.0885, 8.16
311.0, 1.0652, 8.61
312.0, 1.0452, 9.01
313.0, 1.0267, 9.40
314.0, 1.0097, 9.78
315.0, 0.9950, 10.12
316.0, 0.9824, 10.41
317.0, 0.9689, 10.74
318.0, 0.9550, 11.09
319.0, 0.9422, 11.42
320.0, 0.9304, 11.74
321.0, 0.9193, 12.04
322.0, 0.9080, 12.36
323.0, 0.8967, 12.69
324.0, 0.8858, 13.01
325.0, 0.8754, 13.32
326.0, 0.8657, 13.62
327.0, 0.8557, 13.94
328.0, 0.8465, 14.24
329.0, 0.8375, 14.54
330.0, 0.8318, 14.73
331.0, 0.8145, 15.33
332.0, 0.8039, 15.71
333.0, 0.7933, 16.10
334.0, 0.7821, 16.51
335.0, 0.7709, 16.95
336.0, 0.7601, 17.37
337.0, 0.7497, 17.80
338.0, 0.7392, 18.23
339.0, 0.7294, 18.65
340.0, 0.5647, 27.25
341.0, 0.5648, 27.24
342.0, 0.5646, 27.25
343.0, 0.5641, 27.28
344.0, 0.5638, 27.30
345.0, 0.5626, 27.38
346.0, 0.5626, 27.38
347.0, 0.5620, 27.42
348.0, 0.5619, 27.42
349.0, 0.5614, 27.45
350.0, 0.5599, 27.55
351.0, 0.5585, 27.64
352.0, 0.5563, 27.78
353.0, 0.5536, 27.95
354.0, 0.5502, 28.17
355.0, 0.5451, 28.50
356.0, 0.5398, 28.85
357.0, 0.5344, 29.22
358.0, 0.5289, 29.59
359.0, 0.5230, 29.99
360.0, 0.5171, 30.40
361.0, 0.5109, 30.84
362.0, 0.5051, 31.25
363.0, 0.4994, 31.66
364.0, 0.4930, 32.14
365.0, 0.4854, 32.70
366.0, 0.4761, 33.41
367.0, 0.4665, 34.16
368.0, 0.4571, 34.91
369.0, 0.4468, 35.74
370.0, 0.4410, 36.23
371.0, 0.4812, 33.02
372.0, 0.4768, 33.36
373.0, 0.4728, 33.67
374.0, 0.4689, 33.97
375.0, 0.4653, 34.25
376.0, 0.4616, 34.55
377.0, 0.4576, 34.87
378.0, 0.4536, 35.19
379.0, 0.4496, 35.51
380.0, 0.4454, 35.86
381.0, 0.4415, 36.18
382.0, 0.4378, 36.49
383.0, 0.4338, 36.83
384.0, 0.4318, 37.00
385.0, 0.4257, 37.52
386.0, 0.4219, 37.85
387.0, 0.4184, 38.16
388.0, 0.4149, 38.47
389.0, 0.4110, 38.82
390.0, 0.4066, 39.21
391.0, 0.4028, 39.55
392.0, 0.3986, 39.93
393.0, 0.3946, 40.31
394.0, 0.3906, 40.68
395.0, 0.3867, 41.05
396.0, 0.3824, 41.46
397.0, 0.3783, 41.85
398.0, 0.3750, 42.17
399.0, 0.3715, 42.51
400.0, 0.3679, 42.87
401.0, 0.3639, 43.26
402.0, 0.3602, 43.63
403.0, 0.3562, 44.03
404.0, 0.3522, 44.44
405.0, 0.3484, 44.83
406.0, 0.3448, 45.21
407.0, 0.3410, 45.61
408.0, 0.3373, 45.99
409.0, 0.3336, 46.38
410.0, 0.3304, 46.73
411.0, 0.3275, 47.04
412.0, 0.3246, 47.36
413.0, 0.3213, 47.72
414.0, 0.3178, 48.11
415.0, 0.3143, 48.50
416.0, 0.3108, 48.89
417.0, 0.3076, 49.25
418.0, 0.3046, 49.59
419.0, 0.3015, 49.94
420.0, 0.2982, 50.32
421.0, 0.2953, 50.67
422.0, 0.2926, 50.99
423.0, 0.2899, 51.29
424.0, 0.2872, 51.62
425.0, 0.2843, 51.97
426.0, 0.2813, 52.32
427.0, 0.2784, 52.67
428.0, 0.2756, 53.02
429.0, 0.2725, 53.39
430.0, 0.2698, 53.73
431.0, 0.2672, 54.06
432.0, 0.2644, 54.41
433.0, 0.2617, 54.75
434.0, 0.2591, 55.07
435.0, 0.2570, 55.33
436.0, 0.2546, 55.65
437.0, 0.2520, 55.97
438.0, 0.2494, 56.31
439.0, 0.2466, 56.67
440.0, 0.2442, 57.00
441.0, 0.2416, 57.33
442.0, 0.2392, 57.65
443.0, 0.2365, 58.01
444.0, 0.2340, 58.34
445.0, 0.2316, 58.67
446.0, 0.2292, 58.99
447.0, 0.2271, 59.28
448.0, 0.2251, 59.56
449.0, 0.2228, 59.86
450.0, 0.2217, 60.02
