Sample Name, Sample-56
Time, February 06 11:24:10 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0358, 9.21
301.0, 0.9663, 10.81
302.0, 0.9007, 12.57
303.0, 0.8437, 14.33
304.0, 0.7949, 16.04
305.0, 0.7489, 17.83
306.0, 0.7046, 19.74
307.0, 0.6686, 21.45
308.0, 0.6383, 23.00
309.0, 0.6142, 24.31
310.0, 0.5934, 25.51
311.0, 0.5761, 26.54
312.0, 0.5621, 27.41
313.0, 0.5506, 28.15
314.0, 0.5407, 28.80
315.0, 0.5324, 29.35
316.0, 0.5253, 29.83
317.0, 0.5185, 30.31
318.0, 0.5114, 30.80
319.0, 0.5051, 31.26
320.0, 0.4993, 31.68
321.0, 0.4936, 32.09
322.0, 0.4884, 32.48
323.0, 0.4832, 32.87
324.0, 0.4780, 33.27
325.0, 0.4734, 33.62
326.0, 0.4690, 33.96
327.0, 0.4648, 34.30
328.0, 0.4606, 34.63
329.0, 0.4567, 34.94
330.0, 0.4542, 35.14
331.0, 0.4471, 35.72
332.0, 0.4426, 36.09
333.0, 0.4384, 36.44
334.0, 0.4343, 36.79
335.0, 0.4299, 37.16
336.0, 0.4257, 37.52
337.0, 0.4217, 37.87
338.0, 0.4180, 38.20
339.0, 0.4147, 38.48
340.0, 0.3687, 42.78
341.0, 0.3678, 42.87
342.0, 0.3663, 43.02
343.0, 0.3653, 43.12
344.0, 0.3644, 43.21
345.0, 0.3626, 43.39
346.0, 0.3612, 43.54
347.0, 0.3597, 43.69
348.0, 0.3586, 43.79
349.0, 0.3574, 43.92
350.0, 0.3560, 44.05
351.0, 0.3545, 44.21
352.0, 0.3532, 44.34
353.0, 0.3512, 44.54
354.0, 0.3491, 44.76
355.0, 0.3467, 45.01
356.0, 0.3438, 45.31
357.0, 0.3412, 45.58
358.0, 0.3386, 45.86
359.0, 0.3353, 46.20
360.0, 0.3327, 46.48
361.0, 0.3300, 46.77
362.0, 0.3270, 47.10
363.0, 0.3244, 47.38
364.0, 0.3214, 47.71
365.0, 0.3181, 48.07
366.0, 0.3144, 48.49
367.0, 0.3104, 48.93
368.0, 0.3061, 49.42
369.0, 0.3022, 49.86
370.0, 0.3004, 50.08
371.0, 0.3095, 49.03
372.0, 0.3069, 49.33
373.0, 0.3047, 49.58
374.0, 0.3027, 49.81
375.0, 0.3006, 50.05
376.0, 0.2986, 50.28
377.0, 0.2968, 50.49
378.0, 0.2948, 50.72
379.0, 0.2923, 51.01
380.0, 0.2901, 51.28
381.0, 0.2879, 51.53
382.0, 0.2861, 51.75
383.0, 0.2841, 51.99
384.0, 0.2828, 52.14
385.0, 0.2796, 52.53
386.0, 0.2776, 52.77
387.0, 0.2757, 53.01
388.0, 0.2740, 53.21
389.0, 0.2717, 53.49
390.0, 0.2697, 53.74
391.0, 0.2675, 54.02
392.0, 0.2654, 54.28
393.0, 0.2635, 54.52
394.0, 0.2614, 54.78
395.0, 0.2593, 55.04
396.0, 0.2574, 55.29
397.0, 0.2553, 55.56
398.0, 0.2533, 55.81
399.0, 0.2516, 56.03
400.0, 0.2496, 56.29
401.0, 0.2477, 56.53
402.0, 0.2456, 56.81
403.0, 0.2435, 57.09
404.0, 0.2416, 57.33
405.0, 0.2399, 57.56
406.0, 0.2379, 57.82
407.0, 0.2360, 58.07
408.0, 0.2341, 58.33
409.0, 0.2325, 58.55
410.0, 0.2306, 58.80
411.0, 0.2291, 59.01
412.0, 0.2275, 59.22
413.0, 0.2258, 59.46
414.0, 0.2238, 59.72
415.0, 0.2221, 59.96
416.0, 0.2203, 60.21
417.0, 0.2187, 60.44
418.0, 0.2171, 60.66
419.0, 0.2153, 60.91
420.0, 0.2137, 61.14
421.0, 0.2120, 61.38
422.0, 0.2104, 61.60
423.0, 0.2090, 61.80
424.0, 0.2074, 62.02
425.0, 0.2059, 62.24
426.0, 0.2043, 62.48
427.0, 0.2027, 62.71
428.0, 0.2011, 62.93
429.0, 0.1996, 63.16
430.0, 0.1980, 63.38
431.0, 0.1964, 63.62
432.0, 0.1949, 63.84
433.0, 0.1934, 64.06
434.0, 0.1921, 64.26
435.0, 0.1908, 64.44
436.0, 0.1895, 64.64
437.0, 0.1881, 64.85
438.0, 0.1867, 65.06
439.0, 0.1854, 65.26
440.0, 0.1838, 65.50
441.0, 0.1824, 65.71
442.0, 0.1809, 65.94
443.0, 0.1794, 66.16
444.0, 0.1780, 66.38
445.0, 0.1764, 66.62
446.0, 0.1751, 66.82
447.0, 0.1740, 66.99
448.0, 0.1727, 67.20
449.0, 0.1715, 67.37
450.0, 0.1708, 67.48
