Sample Name, Sample-106
Time, February 06 14:49:01 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2092, 6.18
301.0, 1.1725, 6.72
302.0, 1.1248, 7.50
303.0, 1.0677, 8.56
304.0, 1.0068, 9.84
305.0, 0.9380, 11.53
306.0, 0.8620, 13.74
307.0, 0.7964, 15.98
308.0, 0.7384, 18.26
309.0, 0.6902, 20.41
310.0, 0.6492, 22.43
311.0, 0.6149, 24.27
312.0, 0.5868, 25.89
313.0, 0.5643, 27.27
314.0, 0.5457, 28.46
315.0, 0.5305, 29.48
316.0, 0.5180, 30.34
317.0, 0.5056, 31.21
318.0, 0.4938, 32.08
319.0, 0.4833, 32.86
320.0, 0.4739, 33.58
321.0, 0.4649, 34.28
322.0, 0.4567, 34.94
323.0, 0.4485, 35.61
324.0, 0.4409, 36.23
325.0, 0.4337, 36.83
326.0, 0.4269, 37.42
327.0, 0.4203, 37.99
328.0, 0.4139, 38.56
329.0, 0.4073, 39.15
330.0, 0.4034, 39.50
331.0, 0.3921, 40.54
332.0, 0.3844, 41.27
333.0, 0.3772, 41.96
334.0, 0.3701, 42.65
335.0, 0.3633, 43.33
336.0, 0.3562, 44.04
337.0, 0.3497, 44.70
338.0, 0.3434, 45.35
339.0, 0.3391, 45.81
340.0, 0.2843, 51.97
341.0, 0.2814, 52.32
342.0, 0.2780, 52.73
343.0, 0.2745, 53.15
344.0, 0.2713, 53.54
345.0, 0.2681, 53.94
346.0, 0.2655, 54.26
347.0, 0.2622, 54.68
348.0, 0.2588, 55.10
349.0, 0.2558, 55.49
350.0, 0.2531, 55.84
351.0, 0.2501, 56.22
352.0, 0.2473, 56.58
353.0, 0.2438, 57.04
354.0, 0.2404, 57.50
355.0, 0.2363, 58.03
356.0, 0.2324, 58.56
357.0, 0.2290, 59.02
358.0, 0.2253, 59.53
359.0, 0.2211, 60.11
360.0, 0.2171, 60.66
361.0, 0.2139, 61.11
362.0, 0.2103, 61.62
363.0, 0.2073, 62.05
364.0, 0.2040, 62.51
365.0, 0.2007, 62.99
366.0, 0.1961, 63.66
367.0, 0.1918, 64.30
368.0, 0.1881, 64.85
369.0, 0.1835, 65.54
370.0, 0.1809, 65.93
371.0, 0.1889, 64.73
372.0, 0.1863, 65.12
373.0, 0.1836, 65.52
374.0, 0.1815, 65.84
375.0, 0.1795, 66.15
376.0, 0.1770, 66.53
377.0, 0.1748, 66.87
378.0, 0.1725, 67.23
379.0, 0.1702, 67.57
380.0, 0.1676, 67.99
381.0, 0.1655, 68.31
382.0, 0.1634, 68.65
383.0, 0.1612, 68.99
384.0, 0.1598, 69.21
385.0, 0.1570, 69.66
386.0, 0.1551, 69.97
387.0, 0.1530, 70.31
388.0, 0.1511, 70.61
389.0, 0.1490, 70.95
390.0, 0.1468, 71.32
391.0, 0.1448, 71.64
392.0, 0.1429, 71.96
393.0, 0.1411, 72.26
394.0, 0.1393, 72.56
395.0, 0.1374, 72.89
396.0, 0.1353, 73.23
397.0, 0.1335, 73.53
398.0, 0.1318, 73.82
399.0, 0.1301, 74.11
400.0, 0.1287, 74.35
401.0, 0.1271, 74.62
402.0, 0.1253, 74.94
403.0, 0.1238, 75.20
404.0, 0.1220, 75.51
405.0, 0.1203, 75.80
406.0, 0.1188, 76.07
407.0, 0.1172, 76.35
408.0, 0.1157, 76.62
409.0, 0.1141, 76.90
410.0, 0.1128, 77.13
411.0, 0.1115, 77.35
412.0, 0.1104, 77.55
413.0, 0.1090, 77.80
414.0, 0.1076, 78.06
415.0, 0.1062, 78.30
416.0, 0.1049, 78.54
417.0, 0.1036, 78.77
418.0, 0.1024, 78.99
419.0, 0.1012, 79.22
420.0, 0.0998, 79.47
421.0, 0.0985, 79.71
422.0, 0.0975, 79.88
423.0, 0.0967, 80.04
424.0, 0.0956, 80.25
425.0, 0.0944, 80.46
426.0, 0.0934, 80.65
427.0, 0.0924, 80.83
428.0, 0.0913, 81.04
429.0, 0.0901, 81.26
430.0, 0.0892, 81.43
431.0, 0.0881, 81.63
432.0, 0.0872, 81.81
433.0, 0.0862, 81.99
434.0, 0.0853, 82.17
435.0, 0.0845, 82.32
436.0, 0.0837, 82.47
437.0, 0.0827, 82.66
438.0, 0.0818, 82.82
439.0, 0.0808, 83.02
440.0, 0.0799, 83.20
441.0, 0.0791, 83.35
442.0, 0.0781, 83.55
443.0, 0.0771, 83.73
444.0, 0.0764, 83.87
445.0, 0.0755, 84.05
446.0, 0.0747, 84.20
447.0, 0.0740, 84.34
448.0, 0.0733, 84.48
449.0, 0.0726, 84.61
450.0, 0.0721, 84.71
