Sample Name, Sample-45
Time, February 06 11:09:29 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0454, 9.01
301.0, 0.9673, 10.78
302.0, 0.8941, 12.76
303.0, 0.8315, 14.74
304.0, 0.7781, 16.67
305.0, 0.7268, 18.76
306.0, 0.6794, 20.92
307.0, 0.6399, 22.91
308.0, 0.6072, 24.70
309.0, 0.5807, 26.26
310.0, 0.5587, 27.62
311.0, 0.5403, 28.82
312.0, 0.5256, 29.81
313.0, 0.5134, 30.66
314.0, 0.5033, 31.38
315.0, 0.4950, 31.99
316.0, 0.4877, 32.53
317.0, 0.4808, 33.05
318.0, 0.4737, 33.60
319.0, 0.4672, 34.11
320.0, 0.4612, 34.58
321.0, 0.4558, 35.01
322.0, 0.4506, 35.43
323.0, 0.4455, 35.85
324.0, 0.4408, 36.24
325.0, 0.4362, 36.62
326.0, 0.4319, 36.99
327.0, 0.4277, 37.35
328.0, 0.4237, 37.69
329.0, 0.4202, 38.01
330.0, 0.4175, 38.24
331.0, 0.4105, 38.86
332.0, 0.4060, 39.27
333.0, 0.4017, 39.65
334.0, 0.3978, 40.02
335.0, 0.3937, 40.39
336.0, 0.3894, 40.80
337.0, 0.3855, 41.16
338.0, 0.3819, 41.50
339.0, 0.3790, 41.78
340.0, 0.3420, 45.50
341.0, 0.3400, 45.71
342.0, 0.3386, 45.86
343.0, 0.3367, 46.06
344.0, 0.3352, 46.22
345.0, 0.3332, 46.43
346.0, 0.3317, 46.59
347.0, 0.3301, 46.76
348.0, 0.3288, 46.91
349.0, 0.3274, 47.06
350.0, 0.3256, 47.25
351.0, 0.3241, 47.42
352.0, 0.3224, 47.60
353.0, 0.3203, 47.83
354.0, 0.3178, 48.11
355.0, 0.3153, 48.38
356.0, 0.3126, 48.68
357.0, 0.3102, 48.95
358.0, 0.3074, 49.27
359.0, 0.3044, 49.61
360.0, 0.3015, 49.95
361.0, 0.2986, 50.28
362.0, 0.2959, 50.59
363.0, 0.2935, 50.87
364.0, 0.2911, 51.15
365.0, 0.2874, 51.59
366.0, 0.2845, 51.95
367.0, 0.2809, 52.37
368.0, 0.2772, 52.82
369.0, 0.2738, 53.23
370.0, 0.2720, 53.46
371.0, 0.2773, 52.80
372.0, 0.2750, 53.09
373.0, 0.2725, 53.39
374.0, 0.2707, 53.61
375.0, 0.2688, 53.86
376.0, 0.2668, 54.10
377.0, 0.2645, 54.39
378.0, 0.2624, 54.65
379.0, 0.2603, 54.92
380.0, 0.2580, 55.21
381.0, 0.2559, 55.47
382.0, 0.2540, 55.72
383.0, 0.2517, 56.01
384.0, 0.2508, 56.14
385.0, 0.2476, 56.54
386.0, 0.2458, 56.79
387.0, 0.2435, 57.08
388.0, 0.2418, 57.31
389.0, 0.2396, 57.59
390.0, 0.2377, 57.85
391.0, 0.2354, 58.15
392.0, 0.2335, 58.42
393.0, 0.2315, 58.69
394.0, 0.2294, 58.96
395.0, 0.2274, 59.24
396.0, 0.2256, 59.49
397.0, 0.2235, 59.77
398.0, 0.2217, 60.02
399.0, 0.2199, 60.27
400.0, 0.2181, 60.52
401.0, 0.2163, 60.77
402.0, 0.2144, 61.04
403.0, 0.2125, 61.30
404.0, 0.2108, 61.55
405.0, 0.2088, 61.83
406.0, 0.2068, 62.12
407.0, 0.2050, 62.38
408.0, 0.2032, 62.63
409.0, 0.2017, 62.86
410.0, 0.1998, 63.12
411.0, 0.1984, 63.32
412.0, 0.1969, 63.55
413.0, 0.1953, 63.78
414.0, 0.1936, 64.04
415.0, 0.1920, 64.27
416.0, 0.1902, 64.54
417.0, 0.1886, 64.77
418.0, 0.1871, 64.99
419.0, 0.1855, 65.24
420.0, 0.1840, 65.47
421.0, 0.1824, 65.71
422.0, 0.1810, 65.92
423.0, 0.1796, 66.13
424.0, 0.1781, 66.36
425.0, 0.1767, 66.57
426.0, 0.1752, 66.80
427.0, 0.1738, 67.02
428.0, 0.1724, 67.23
429.0, 0.1709, 67.46
430.0, 0.1696, 67.67
431.0, 0.1681, 67.90
432.0, 0.1667, 68.12
433.0, 0.1655, 68.31
434.0, 0.1643, 68.51
435.0, 0.1631, 68.69
436.0, 0.1618, 68.89
437.0, 0.1605, 69.10
438.0, 0.1591, 69.32
439.0, 0.1581, 69.49
440.0, 0.1567, 69.72
441.0, 0.1553, 69.94
442.0, 0.1539, 70.17
443.0, 0.1526, 70.37
444.0, 0.1513, 70.58
445.0, 0.1500, 70.79
446.0, 0.1488, 70.99
447.0, 0.1479, 71.14
448.0, 0.1468, 71.32
449.0, 0.1459, 71.47
450.0, 0.1453, 71.56
