Sample Name, Sample-111
Time, February 06 14:56:21 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2454, 5.68
301.0, 1.2408, 5.74
302.0, 1.2357, 5.81
303.0, 1.2299, 5.89
304.0, 1.2232, 5.98
305.0, 1.2133, 6.12
306.0, 1.1968, 6.36
307.0, 1.1722, 6.73
308.0, 1.1416, 7.22
309.0, 1.1054, 7.84
310.0, 1.0657, 8.60
311.0, 1.0245, 9.45
312.0, 0.9873, 10.30
313.0, 0.9553, 11.08
314.0, 0.9257, 11.87
315.0, 0.9007, 12.57
316.0, 0.8802, 13.18
317.0, 0.8598, 13.81
318.0, 0.8384, 14.51
319.0, 0.8201, 15.13
320.0, 0.8034, 15.72
321.0, 0.7890, 16.26
322.0, 0.7752, 16.78
323.0, 0.7612, 17.33
324.0, 0.7490, 17.82
325.0, 0.7375, 18.30
326.0, 0.7257, 18.81
327.0, 0.7144, 19.30
328.0, 0.7040, 19.77
329.0, 0.6939, 20.23
330.0, 0.6872, 20.55
331.0, 0.6690, 21.43
332.0, 0.6565, 22.06
333.0, 0.6453, 22.63
334.0, 0.6335, 23.25
335.0, 0.6218, 23.89
336.0, 0.6101, 24.54
337.0, 0.5992, 25.16
338.0, 0.5888, 25.77
339.0, 0.5799, 26.31
340.0, 0.4650, 34.28
341.0, 0.4616, 34.54
342.0, 0.4582, 34.81
343.0, 0.4543, 35.13
344.0, 0.4511, 35.39
345.0, 0.4475, 35.68
346.0, 0.4442, 35.96
347.0, 0.4405, 36.27
348.0, 0.4366, 36.59
349.0, 0.4328, 36.92
350.0, 0.4288, 37.26
351.0, 0.4243, 37.64
352.0, 0.4200, 38.02
353.0, 0.4152, 38.44
354.0, 0.4094, 38.96
355.0, 0.4030, 39.53
356.0, 0.3965, 40.13
357.0, 0.3892, 40.81
358.0, 0.3827, 41.43
359.0, 0.3753, 42.14
360.0, 0.3682, 42.83
361.0, 0.3621, 43.44
362.0, 0.3559, 44.07
363.0, 0.3500, 44.66
364.0, 0.3437, 45.32
365.0, 0.3369, 46.04
366.0, 0.3285, 46.94
367.0, 0.3201, 47.85
368.0, 0.3116, 48.80
369.0, 0.3037, 49.69
370.0, 0.2989, 50.25
371.0, 0.3155, 48.36
372.0, 0.3106, 48.91
373.0, 0.3058, 49.46
374.0, 0.3012, 49.98
375.0, 0.2968, 50.49
376.0, 0.2923, 51.02
377.0, 0.2876, 51.57
378.0, 0.2825, 52.18
379.0, 0.2780, 52.72
380.0, 0.2734, 53.28
381.0, 0.2687, 53.86
382.0, 0.2645, 54.39
383.0, 0.2602, 54.93
384.0, 0.2578, 55.23
385.0, 0.2515, 56.04
386.0, 0.2475, 56.55
387.0, 0.2436, 57.07
388.0, 0.2399, 57.55
389.0, 0.2359, 58.09
390.0, 0.2318, 58.64
391.0, 0.2278, 59.19
392.0, 0.2239, 59.71
393.0, 0.2202, 60.22
394.0, 0.2162, 60.78
395.0, 0.2125, 61.30
396.0, 0.2086, 61.85
397.0, 0.2050, 62.38
398.0, 0.2019, 62.82
399.0, 0.1987, 63.28
400.0, 0.1956, 63.73
401.0, 0.1925, 64.20
402.0, 0.1890, 64.71
403.0, 0.1859, 65.18
404.0, 0.1827, 65.66
405.0, 0.1796, 66.13
406.0, 0.1766, 66.59
407.0, 0.1735, 67.07
408.0, 0.1707, 67.50
409.0, 0.1679, 67.94
410.0, 0.1654, 68.33
411.0, 0.1631, 68.69
412.0, 0.1608, 69.06
413.0, 0.1583, 69.45
414.0, 0.1557, 69.87
415.0, 0.1531, 70.30
416.0, 0.1506, 70.69
417.0, 0.1484, 71.06
418.0, 0.1463, 71.40
419.0, 0.1440, 71.78
420.0, 0.1417, 72.16
421.0, 0.1393, 72.56
422.0, 0.1374, 72.88
423.0, 0.1356, 73.18
424.0, 0.1337, 73.49
425.0, 0.1318, 73.83
426.0, 0.1298, 74.16
427.0, 0.1279, 74.49
428.0, 0.1260, 74.82
429.0, 0.1240, 75.16
430.0, 0.1222, 75.47
431.0, 0.1202, 75.82
432.0, 0.1185, 76.12
433.0, 0.1169, 76.41
434.0, 0.1151, 76.72
435.0, 0.1137, 76.97
436.0, 0.1122, 77.24
437.0, 0.1106, 77.52
438.0, 0.1090, 77.80
439.0, 0.1074, 78.09
440.0, 0.1056, 78.42
441.0, 0.1041, 78.69
442.0, 0.1025, 78.97
443.0, 0.1009, 79.26
444.0, 0.0996, 79.50
445.0, 0.0980, 79.80
446.0, 0.0969, 80.01
447.0, 0.0957, 80.22
448.0, 0.0946, 80.43
449.0, 0.0934, 80.65
450.0, 0.0926, 80.79
