Sample Name, Sample-24
Time, February 13 16:49:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5939, 0.25
231.0, 2.5996, 0.25
232.0, 2.6066, 0.25
233.0, 2.6115, 0.24
234.0, 2.6190, 0.24
235.0, 2.6286, 0.24
236.0, 2.6250, 0.24
237.0, 2.6285, 0.24
238.0, 2.6212, 0.24
239.0, 2.6263, 0.24
240.0, 2.6338, 0.23
241.0, 2.6141, 0.24
242.0, 2.6203, 0.24
243.0, 2.6144, 0.24
244.0, 2.6013, 0.25
245.0, 2.5873, 0.26
246.0, 2.5803, 0.26
247.0, 2.5780, 0.26
248.0, 2.5769, 0.26
249.0, 2.5709, 0.27
250.0, 2.5659, 0.27
251.0, 2.5481, 0.28
252.0, 2.5460, 0.28
253.0, 2.5296, 0.30
254.0, 2.5287, 0.30
255.0, 2.5274, 0.30
256.0, 2.5048, 0.31
257.0, 2.5135, 0.31
258.0, 2.5025, 0.31
259.0, 2.4808, 0.33
260.0, 2.4694, 0.34
261.0, 2.4564, 0.35
262.0, 2.4410, 0.36
263.0, 2.4408, 0.36
264.0, 2.4269, 0.37
265.0, 2.4166, 0.38
266.0, 2.4110, 0.39
267.0, 2.4025, 0.40
268.0, 2.4016, 0.40
269.0, 2.3976, 0.40
270.0, 2.3845, 0.41
271.0, 2.3785, 0.42
272.0, 2.3686, 0.43
273.0, 2.3633, 0.43
274.0, 2.3560, 0.44
275.0, 2.3524, 0.44
276.0, 2.3397, 0.46
277.0, 2.3318, 0.47
278.0, 2.3366, 0.46
279.0, 2.3270, 0.47
280.0, 2.3233, 0.48
281.0, 2.3233, 0.47
282.0, 2.3265, 0.47
283.0, 2.3137, 0.49
284.0, 2.3097, 0.49
285.0, 2.3005, 0.50
286.0, 2.2976, 0.50
287.0, 2.2955, 0.51
288.0, 2.2897, 0.51
289.0, 2.2781, 0.53
290.0, 2.2820, 0.52
291.0, 2.2696, 0.54
292.0, 2.2743, 0.53
293.0, 2.2670, 0.54
294.0, 2.2711, 0.54
295.0, 2.2607, 0.55
296.0, 2.2463, 0.57
297.0, 2.2149, 0.61
298.0, 2.1894, 0.65
299.0, 1.9714, 1.07
300.0, 1.7762, 1.67
301.0, 1.5724, 2.68
302.0, 1.3797, 4.17
303.0, 1.2087, 6.18
304.0, 1.0462, 8.99
305.0, 0.9087, 12.34
306.0, 0.7886, 16.27
307.0, 0.6919, 20.33
308.0, 0.6125, 24.41
309.0, 0.5496, 28.21
310.0, 0.4991, 31.69
311.0, 0.4572, 34.90
312.0, 0.4251, 37.58
313.0, 0.3995, 39.86
314.0, 0.3806, 41.63
315.0, 0.3660, 43.05
316.0, 0.3523, 44.44
317.0, 0.3411, 45.60
318.0, 0.3309, 46.68
319.0, 0.3225, 47.59
320.0, 0.3150, 48.42
321.0, 0.3085, 49.14
322.0, 0.3026, 49.82
323.0, 0.2976, 50.40
324.0, 0.2924, 51.00
325.0, 0.2881, 51.52
326.0, 0.2838, 52.02
327.0, 0.2800, 52.48
328.0, 0.2760, 52.96
329.0, 0.2728, 53.36
330.0, 0.2701, 53.69
331.0, 0.2639, 54.47
332.0, 0.2600, 54.96
333.0, 0.2562, 55.43
334.0, 0.2522, 55.95
335.0, 0.2484, 56.45
336.0, 0.2445, 56.95
337.0, 0.2410, 57.41
338.0, 0.2380, 57.81
339.0, 0.2360, 58.07
340.0, 0.2270, 59.29
341.0, 0.2233, 59.80
342.0, 0.2200, 60.26
343.0, 0.2168, 60.70
344.0, 0.2137, 61.13
345.0, 0.2104, 61.61
346.0, 0.2073, 62.05
347.0, 0.2039, 62.53
348.0, 0.2008, 62.99
