Sample Name, Sample-67
Time, February 13 18:40:02 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5021, 0.31
231.0, 2.5198, 0.30
232.0, 2.5150, 0.31
233.0, 2.5177, 0.30
234.0, 2.5309, 0.29
235.0, 2.5341, 0.29
236.0, 2.5373, 0.29
237.0, 2.5414, 0.29
238.0, 2.5423, 0.29
239.0, 2.5448, 0.29
240.0, 2.5398, 0.29
241.0, 2.5377, 0.29
242.0, 2.5264, 0.30
243.0, 2.5166, 0.30
244.0, 2.5100, 0.31
245.0, 2.5004, 0.32
246.0, 2.4959, 0.32
247.0, 2.4863, 0.33
248.0, 2.4788, 0.33
249.0, 2.4680, 0.34
250.0, 2.4635, 0.34
251.0, 2.4503, 0.35
252.0, 2.4490, 0.36
253.0, 2.4241, 0.38
254.0, 2.4254, 0.38
255.0, 2.4115, 0.39
256.0, 2.4102, 0.39
257.0, 2.3991, 0.40
258.0, 2.3865, 0.41
259.0, 2.3819, 0.42
260.0, 2.3753, 0.42
261.0, 2.3683, 0.43
262.0, 2.3542, 0.44
263.0, 2.3449, 0.45
264.0, 2.3334, 0.46
265.0, 2.3262, 0.47
266.0, 2.3166, 0.48
267.0, 2.3151, 0.48
268.0, 2.3032, 0.50
269.0, 2.2930, 0.51
270.0, 2.2785, 0.53
271.0, 2.2689, 0.54
272.0, 2.2584, 0.55
273.0, 2.2518, 0.56
274.0, 2.2551, 0.56
275.0, 2.2487, 0.56
276.0, 2.2391, 0.58
277.0, 2.2351, 0.58
278.0, 2.2347, 0.58
279.0, 2.2307, 0.59
280.0, 2.2272, 0.59
281.0, 2.2263, 0.59
282.0, 2.2191, 0.60
283.0, 2.2147, 0.61
284.0, 2.2119, 0.61
285.0, 2.2033, 0.63
286.0, 2.1936, 0.64
287.0, 2.1893, 0.65
288.0, 2.1910, 0.64
289.0, 2.1838, 0.65
290.0, 2.1780, 0.66
291.0, 2.1725, 0.67
292.0, 2.1757, 0.67
293.0, 2.1640, 0.69
294.0, 2.1455, 0.72
295.0, 2.1035, 0.79
296.0, 2.0289, 0.94
297.0, 1.9246, 1.19
298.0, 1.8516, 1.41
299.0, 1.5415, 2.87
300.0, 1.3604, 4.36
301.0, 1.2009, 6.30
302.0, 1.0619, 8.67
303.0, 0.9390, 11.51
304.0, 0.8399, 14.46
305.0, 0.7498, 17.79
306.0, 0.6706, 21.35
307.0, 0.6043, 24.87
308.0, 0.5540, 27.93
309.0, 0.5126, 30.72
310.0, 0.4791, 33.18
311.0, 0.4522, 35.30
312.0, 0.4313, 37.04
313.0, 0.4145, 38.50
314.0, 0.4019, 39.64
315.0, 0.3909, 40.65
316.0, 0.3821, 41.48
317.0, 0.3743, 42.24
318.0, 0.3667, 42.98
319.0, 0.3601, 43.64
320.0, 0.3545, 44.21
321.0, 0.3495, 44.72
322.0, 0.3449, 45.20
323.0, 0.3404, 45.66
324.0, 0.3362, 46.12
325.0, 0.3324, 46.52
326.0, 0.3287, 46.91
327.0, 0.3252, 47.30
328.0, 0.3219, 47.65
329.0, 0.3188, 48.00
330.0, 0.3169, 48.20
331.0, 0.3113, 48.83
332.0, 0.3078, 49.23
333.0, 0.3042, 49.63
334.0, 0.3009, 50.01
335.0, 0.2975, 50.41
336.0, 0.2943, 50.79
337.0, 0.2911, 51.16
338.0, 0.2880, 51.52
339.0, 0.2862, 51.74
340.0, 0.2768, 52.87
341.0, 0.2740, 53.21
342.0, 0.2709, 53.60
343.0, 0.2681, 53.93
344.0, 0.2654, 54.28
345.0, 0.2624, 54.66
346.0, 0.2592, 55.05
347.0, 0.2563, 55.43
348.0, 0.2539, 55.73
349.0, 0.2511, 56.09
350.0, 0.2486, 56.42
351.0, 0.2458, 56.78
352.0, 0.2435, 57.08
353.0, 0.2408, 57.43
354.0, 0.2379, 57.82
355.0, 0.2349, 58.22
356.0, 0.2319, 58.62
357.0, 0.2295, 58.95
358.0, 0.2268, 59.32
359.0, 0.2237, 59.74
