Sample Name, Sample-126
Time, February 06 15:16:56 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1065, 7.83
301.0, 1.0425, 9.07
302.0, 0.9683, 10.76
303.0, 0.8961, 12.70
304.0, 0.8293, 14.81
305.0, 0.7613, 17.33
306.0, 0.6915, 20.35
307.0, 0.6339, 23.23
308.0, 0.5859, 25.95
309.0, 0.5469, 28.39
310.0, 0.5142, 30.61
311.0, 0.4867, 32.61
312.0, 0.4647, 34.30
313.0, 0.4471, 35.72
314.0, 0.4324, 36.95
315.0, 0.4206, 37.96
316.0, 0.4107, 38.84
317.0, 0.4010, 39.72
318.0, 0.3913, 40.62
319.0, 0.3831, 41.39
320.0, 0.3753, 42.14
321.0, 0.3684, 42.82
322.0, 0.3615, 43.50
323.0, 0.3549, 44.16
324.0, 0.3484, 44.83
325.0, 0.3428, 45.42
326.0, 0.3371, 46.01
327.0, 0.3316, 46.60
328.0, 0.3263, 47.18
329.0, 0.3211, 47.75
330.0, 0.3179, 48.10
331.0, 0.3082, 49.19
332.0, 0.3022, 49.87
333.0, 0.2963, 50.55
334.0, 0.2905, 51.23
335.0, 0.2845, 51.94
336.0, 0.2787, 52.63
337.0, 0.2735, 53.28
338.0, 0.2683, 53.92
339.0, 0.2647, 54.36
340.0, 0.2244, 59.64
341.0, 0.2216, 60.03
342.0, 0.2184, 60.48
343.0, 0.2153, 60.91
344.0, 0.2123, 61.33
345.0, 0.2095, 61.72
346.0, 0.2070, 62.09
347.0, 0.2040, 62.51
348.0, 0.2014, 62.90
349.0, 0.1986, 63.31
350.0, 0.1965, 63.60
351.0, 0.1937, 64.01
352.0, 0.1909, 64.43
353.0, 0.1880, 64.86
354.0, 0.1851, 65.30
355.0, 0.1821, 65.76
356.0, 0.1786, 66.28
357.0, 0.1755, 66.75
358.0, 0.1722, 67.26
359.0, 0.1692, 67.73
360.0, 0.1659, 68.25
361.0, 0.1631, 68.68
362.0, 0.1605, 69.10
363.0, 0.1582, 69.46
364.0, 0.1558, 69.86
365.0, 0.1532, 70.27
366.0, 0.1498, 70.83
367.0, 0.1463, 71.40
368.0, 0.1428, 71.97
369.0, 0.1392, 72.58
370.0, 0.1370, 72.94
371.0, 0.1426, 72.01
372.0, 0.1406, 72.34
373.0, 0.1386, 72.68
374.0, 0.1366, 73.01
375.0, 0.1351, 73.27
376.0, 0.1333, 73.56
377.0, 0.1315, 73.87
378.0, 0.1296, 74.21
379.0, 0.1279, 74.50
380.0, 0.1259, 74.84
381.0, 0.1241, 75.14
382.0, 0.1224, 75.44
383.0, 0.1207, 75.73
384.0, 0.1195, 75.94
385.0, 0.1173, 76.32
386.0, 0.1160, 76.57
387.0, 0.1142, 76.88
388.0, 0.1129, 77.11
389.0, 0.1113, 77.39
390.0, 0.1099, 77.63
391.0, 0.1085, 77.89
392.0, 0.1071, 78.14
393.0, 0.1056, 78.41
394.0, 0.1041, 78.68
395.0, 0.1028, 78.93
396.0, 0.1014, 79.18
397.0, 0.0998, 79.47
398.0, 0.0988, 79.65
399.0, 0.0976, 79.87
400.0, 0.0965, 80.07
401.0, 0.0952, 80.31
402.0, 0.0939, 80.55
403.0, 0.0927, 80.78
404.0, 0.0913, 81.04
405.0, 0.0901, 81.27
406.0, 0.0890, 81.47
407.0, 0.0879, 81.68
408.0, 0.0867, 81.89
409.0, 0.0857, 82.09
410.0, 0.0848, 82.27
411.0, 0.0839, 82.43
412.0, 0.0831, 82.59
413.0, 0.0821, 82.78
414.0, 0.0809, 83.00
415.0, 0.0799, 83.19
416.0, 0.0790, 83.36
417.0, 0.0782, 83.53
418.0, 0.0774, 83.67
419.0, 0.0765, 83.86
420.0, 0.0756, 84.03
421.0, 0.0746, 84.22
422.0, 0.0739, 84.36
423.0, 0.0732, 84.49
424.0, 0.0725, 84.62
425.0, 0.0718, 84.77
426.0, 0.0711, 84.90
427.0, 0.0702, 85.07
428.0, 0.0695, 85.21
429.0, 0.0687, 85.36
430.0, 0.0680, 85.51
431.0, 0.0673, 85.65
432.0, 0.0665, 85.79
433.0, 0.0659, 85.92
434.0, 0.0653, 86.05
435.0, 0.0646, 86.17
436.0, 0.0641, 86.27
437.0, 0.0634, 86.41
438.0, 0.0628, 86.53
439.0, 0.0621, 86.67
440.0, 0.0614, 86.82
441.0, 0.0608, 86.94
442.0, 0.0603, 87.04
443.0, 0.0595, 87.19
444.0, 0.0589, 87.33
445.0, 0.0583, 87.44
446.0, 0.0577, 87.55
447.0, 0.0572, 87.66
448.0, 0.0568, 87.74
449.0, 0.0562, 87.86
450.0, 0.0560, 87.90
