Sample Name, Sample-63
Time, February 06 11:35:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9247, 11.89
301.0, 0.8403, 14.45
302.0, 0.7639, 17.22
303.0, 0.6975, 20.07
304.0, 0.6419, 22.81
305.0, 0.5901, 25.70
306.0, 0.5419, 28.71
307.0, 0.5022, 31.46
308.0, 0.4696, 33.92
309.0, 0.4436, 36.01
310.0, 0.4222, 37.83
311.0, 0.4042, 39.42
312.0, 0.3902, 40.72
313.0, 0.3788, 41.80
314.0, 0.3699, 42.67
315.0, 0.3623, 43.42
316.0, 0.3558, 44.07
317.0, 0.3498, 44.69
318.0, 0.3440, 45.29
319.0, 0.3390, 45.82
320.0, 0.3339, 46.35
321.0, 0.3296, 46.81
322.0, 0.3258, 47.23
323.0, 0.3217, 47.68
324.0, 0.3181, 48.07
325.0, 0.3145, 48.47
326.0, 0.3111, 48.85
327.0, 0.3082, 49.19
328.0, 0.3054, 49.50
329.0, 0.3023, 49.85
330.0, 0.3005, 50.06
331.0, 0.2955, 50.64
332.0, 0.2922, 51.03
333.0, 0.2893, 51.36
334.0, 0.2863, 51.72
335.0, 0.2834, 52.08
336.0, 0.2802, 52.45
337.0, 0.2776, 52.77
338.0, 0.2750, 53.08
339.0, 0.2731, 53.32
340.0, 0.2493, 56.32
341.0, 0.2484, 56.45
342.0, 0.2464, 56.70
343.0, 0.2452, 56.85
344.0, 0.2442, 56.98
345.0, 0.2427, 57.19
346.0, 0.2417, 57.32
347.0, 0.2403, 57.50
348.0, 0.2391, 57.66
349.0, 0.2378, 57.84
350.0, 0.2363, 58.04
351.0, 0.2354, 58.15
352.0, 0.2342, 58.31
353.0, 0.2325, 58.55
354.0, 0.2306, 58.80
355.0, 0.2288, 59.04
356.0, 0.2271, 59.28
357.0, 0.2248, 59.59
358.0, 0.2228, 59.87
359.0, 0.2209, 60.12
360.0, 0.2190, 60.40
361.0, 0.2172, 60.65
362.0, 0.2151, 60.94
363.0, 0.2133, 61.19
364.0, 0.2114, 61.47
365.0, 0.2095, 61.73
366.0, 0.2071, 62.07
367.0, 0.2048, 62.40
368.0, 0.2023, 62.76
369.0, 0.1999, 63.11
370.0, 0.1988, 63.28
371.0, 0.2010, 62.94
372.0, 0.1994, 63.18
373.0, 0.1977, 63.43
374.0, 0.1961, 63.66
375.0, 0.1947, 63.88
376.0, 0.1930, 64.12
377.0, 0.1915, 64.35
378.0, 0.1898, 64.59
379.0, 0.1879, 64.87
380.0, 0.1863, 65.12
381.0, 0.1846, 65.37
382.0, 0.1832, 65.59
383.0, 0.1816, 65.82
384.0, 0.1811, 65.91
385.0, 0.1786, 66.29
386.0, 0.1770, 66.52
387.0, 0.1757, 66.73
388.0, 0.1744, 66.93
389.0, 0.1728, 67.17
390.0, 0.1714, 67.39
391.0, 0.1697, 67.65
392.0, 0.1684, 67.85
393.0, 0.1670, 68.07
394.0, 0.1655, 68.31
395.0, 0.1641, 68.54
396.0, 0.1628, 68.74
397.0, 0.1613, 68.98
398.0, 0.1600, 69.18
399.0, 0.1590, 69.34
400.0, 0.1576, 69.56
401.0, 0.1562, 69.80
402.0, 0.1548, 70.01
403.0, 0.1535, 70.22
404.0, 0.1523, 70.41
405.0, 0.1512, 70.60
406.0, 0.1498, 70.83
407.0, 0.1485, 71.03
408.0, 0.1474, 71.23
409.0, 0.1463, 71.40
410.0, 0.1452, 71.59
411.0, 0.1442, 71.75
412.0, 0.1431, 71.93
413.0, 0.1420, 72.11
414.0, 0.1408, 72.32
415.0, 0.1398, 72.48
416.0, 0.1386, 72.68
417.0, 0.1375, 72.86
418.0, 0.1365, 73.03
419.0, 0.1353, 73.23
420.0, 0.1343, 73.40
421.0, 0.1332, 73.58
422.0, 0.1323, 73.74
423.0, 0.1315, 73.88
424.0, 0.1305, 74.04
425.0, 0.1297, 74.18
426.0, 0.1286, 74.37
427.0, 0.1275, 74.55
428.0, 0.1267, 74.70
429.0, 0.1257, 74.86
430.0, 0.1247, 75.04
431.0, 0.1237, 75.21
432.0, 0.1228, 75.37
433.0, 0.1220, 75.51
434.0, 0.1211, 75.67
435.0, 0.1203, 75.80
436.0, 0.1196, 75.93
437.0, 0.1188, 76.07
438.0, 0.1178, 76.24
439.0, 0.1170, 76.39
440.0, 0.1161, 76.55
441.0, 0.1151, 76.71
442.0, 0.1143, 76.87
443.0, 0.1133, 77.04
444.0, 0.1125, 77.18
445.0, 0.1117, 77.32
446.0, 0.1109, 77.46
447.0, 0.1103, 77.58
448.0, 0.1096, 77.69
449.0, 0.1090, 77.80
450.0, 0.1086, 77.88
