Sample Name, Sample-68
Time, February 06 11:41:01 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8612, 13.77
301.0, 0.7707, 16.95
302.0, 0.6919, 20.33
303.0, 0.6222, 23.87
304.0, 0.5632, 27.34
305.0, 0.5088, 30.99
306.0, 0.4594, 34.72
307.0, 0.4190, 38.11
308.0, 0.3863, 41.09
309.0, 0.3601, 43.65
310.0, 0.3393, 45.78
311.0, 0.3216, 47.68
312.0, 0.3077, 49.24
313.0, 0.2972, 50.45
314.0, 0.2887, 51.43
315.0, 0.2817, 52.28
316.0, 0.2759, 52.98
317.0, 0.2703, 53.67
318.0, 0.2655, 54.26
319.0, 0.2612, 54.80
320.0, 0.2571, 55.32
321.0, 0.2536, 55.77
322.0, 0.2504, 56.18
323.0, 0.2475, 56.55
324.0, 0.2447, 56.93
325.0, 0.2419, 57.29
326.0, 0.2394, 57.63
327.0, 0.2372, 57.91
328.0, 0.2351, 58.20
329.0, 0.2325, 58.55
330.0, 0.2312, 58.72
331.0, 0.2269, 59.30
332.0, 0.2244, 59.65
333.0, 0.2220, 59.98
334.0, 0.2199, 60.27
335.0, 0.2175, 60.61
336.0, 0.2150, 60.95
337.0, 0.2131, 61.22
338.0, 0.2113, 61.48
339.0, 0.2097, 61.70
340.0, 0.1948, 63.86
341.0, 0.1932, 64.09
342.0, 0.1917, 64.32
343.0, 0.1904, 64.51
344.0, 0.1895, 64.64
345.0, 0.1875, 64.93
346.0, 0.1866, 65.07
347.0, 0.1858, 65.19
348.0, 0.1845, 65.38
349.0, 0.1834, 65.55
350.0, 0.1824, 65.71
351.0, 0.1812, 65.89
352.0, 0.1798, 66.09
353.0, 0.1786, 66.28
354.0, 0.1773, 66.49
355.0, 0.1756, 66.74
356.0, 0.1743, 66.95
357.0, 0.1725, 67.23
358.0, 0.1710, 67.45
359.0, 0.1692, 67.73
360.0, 0.1677, 67.96
361.0, 0.1664, 68.17
362.0, 0.1645, 68.47
363.0, 0.1633, 68.67
364.0, 0.1618, 68.89
365.0, 0.1602, 69.14
366.0, 0.1584, 69.43
367.0, 0.1570, 69.67
368.0, 0.1548, 70.01
369.0, 0.1530, 70.30
370.0, 0.1527, 70.36
371.0, 0.1527, 70.36
372.0, 0.1509, 70.65
373.0, 0.1498, 70.82
374.0, 0.1486, 71.02
375.0, 0.1475, 71.21
376.0, 0.1462, 71.42
377.0, 0.1447, 71.66
378.0, 0.1434, 71.88
379.0, 0.1421, 72.09
380.0, 0.1407, 72.32
381.0, 0.1394, 72.55
382.0, 0.1382, 72.74
383.0, 0.1369, 72.96
384.0, 0.1363, 73.06
385.0, 0.1345, 73.37
386.0, 0.1335, 73.54
387.0, 0.1321, 73.77
388.0, 0.1311, 73.94
389.0, 0.1298, 74.16
390.0, 0.1287, 74.35
391.0, 0.1275, 74.56
392.0, 0.1264, 74.75
393.0, 0.1254, 74.92
394.0, 0.1241, 75.15
395.0, 0.1231, 75.32
396.0, 0.1220, 75.51
397.0, 0.1209, 75.69
398.0, 0.1201, 75.84
399.0, 0.1193, 75.98
400.0, 0.1182, 76.17
401.0, 0.1171, 76.36
402.0, 0.1161, 76.54
403.0, 0.1152, 76.70
404.0, 0.1143, 76.87
405.0, 0.1133, 77.03
406.0, 0.1123, 77.22
407.0, 0.1113, 77.40
408.0, 0.1103, 77.57
409.0, 0.1095, 77.72
410.0, 0.1085, 77.89
411.0, 0.1079, 78.00
412.0, 0.1071, 78.15
413.0, 0.1063, 78.28
414.0, 0.1053, 78.46
415.0, 0.1046, 78.59
416.0, 0.1037, 78.75
417.0, 0.1030, 78.89
418.0, 0.1022, 79.03
419.0, 0.1015, 79.16
420.0, 0.1010, 79.26
421.0, 0.1000, 79.42
422.0, 0.0993, 79.56
423.0, 0.0986, 79.69
424.0, 0.0980, 79.81
425.0, 0.0974, 79.90
426.0, 0.0965, 80.07
427.0, 0.0959, 80.18
428.0, 0.0952, 80.31
429.0, 0.0944, 80.46
430.0, 0.0939, 80.55
431.0, 0.0932, 80.68
432.0, 0.0925, 80.82
433.0, 0.0920, 80.91
434.0, 0.0914, 81.03
435.0, 0.0907, 81.15
436.0, 0.0902, 81.25
437.0, 0.0894, 81.39
438.0, 0.0888, 81.51
439.0, 0.0883, 81.60
440.0, 0.0877, 81.72
441.0, 0.0870, 81.85
442.0, 0.0865, 81.94
443.0, 0.0860, 82.04
444.0, 0.0854, 82.15
445.0, 0.0849, 82.24
446.0, 0.0843, 82.36
447.0, 0.0838, 82.45
448.0, 0.0834, 82.53
449.0, 0.0830, 82.60
450.0, 0.0828, 82.63
