Sample Name, Sample-83
Time, February 06 12:00:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9223, 11.96
301.0, 0.8405, 14.44
302.0, 0.7654, 17.16
303.0, 0.7013, 19.89
304.0, 0.6468, 22.55
305.0, 0.5956, 25.37
306.0, 0.5481, 28.31
307.0, 0.5091, 30.97
308.0, 0.4768, 33.36
309.0, 0.4515, 35.36
310.0, 0.4299, 37.16
311.0, 0.4125, 38.68
312.0, 0.3986, 39.94
313.0, 0.3875, 40.97
314.0, 0.3782, 41.86
315.0, 0.3704, 42.62
316.0, 0.3640, 43.25
317.0, 0.3578, 43.88
318.0, 0.3518, 44.48
319.0, 0.3463, 45.05
320.0, 0.3412, 45.58
321.0, 0.3368, 46.05
322.0, 0.3323, 46.52
323.0, 0.3284, 46.95
324.0, 0.3245, 47.37
325.0, 0.3204, 47.82
326.0, 0.3170, 48.19
327.0, 0.3136, 48.58
328.0, 0.3104, 48.93
329.0, 0.3072, 49.30
330.0, 0.3052, 49.53
331.0, 0.2992, 50.21
332.0, 0.2954, 50.65
333.0, 0.2920, 51.05
334.0, 0.2886, 51.45
335.0, 0.2852, 51.86
336.0, 0.2815, 52.30
337.0, 0.2786, 52.66
338.0, 0.2757, 53.01
339.0, 0.2732, 53.31
340.0, 0.2475, 56.56
341.0, 0.2456, 56.81
342.0, 0.2433, 57.10
343.0, 0.2419, 57.29
344.0, 0.2402, 57.51
345.0, 0.2381, 57.80
346.0, 0.2364, 58.02
347.0, 0.2347, 58.26
348.0, 0.2329, 58.49
349.0, 0.2311, 58.73
350.0, 0.2293, 58.97
351.0, 0.2283, 59.12
352.0, 0.2266, 59.35
353.0, 0.2243, 59.67
354.0, 0.2223, 59.94
355.0, 0.2197, 60.30
356.0, 0.2174, 60.62
357.0, 0.2148, 60.99
358.0, 0.2126, 61.29
359.0, 0.2106, 61.58
360.0, 0.2082, 61.92
361.0, 0.2057, 62.27
362.0, 0.2034, 62.61
363.0, 0.2017, 62.84
364.0, 0.1996, 63.16
365.0, 0.1970, 63.53
366.0, 0.1944, 63.91
367.0, 0.1920, 64.26
368.0, 0.1892, 64.69
369.0, 0.1865, 65.09
370.0, 0.1852, 65.28
371.0, 0.1867, 65.05
372.0, 0.1847, 65.37
373.0, 0.1829, 65.64
374.0, 0.1810, 65.91
375.0, 0.1793, 66.18
376.0, 0.1775, 66.45
377.0, 0.1758, 66.71
378.0, 0.1740, 66.98
379.0, 0.1720, 67.30
380.0, 0.1701, 67.59
381.0, 0.1682, 67.89
382.0, 0.1668, 68.10
383.0, 0.1650, 68.39
384.0, 0.1641, 68.53
385.0, 0.1617, 68.92
386.0, 0.1600, 69.19
387.0, 0.1583, 69.46
388.0, 0.1567, 69.71
389.0, 0.1552, 69.95
390.0, 0.1535, 70.22
391.0, 0.1519, 70.49
392.0, 0.1502, 70.76
393.0, 0.1488, 70.99
394.0, 0.1473, 71.24
395.0, 0.1456, 71.52
396.0, 0.1442, 71.75
397.0, 0.1427, 72.00
398.0, 0.1412, 72.24
399.0, 0.1400, 72.44
400.0, 0.1387, 72.67
401.0, 0.1372, 72.91
402.0, 0.1358, 73.15
403.0, 0.1345, 73.37
404.0, 0.1332, 73.58
405.0, 0.1319, 73.80
406.0, 0.1305, 74.05
407.0, 0.1293, 74.26
408.0, 0.1280, 74.47
409.0, 0.1270, 74.64
410.0, 0.1258, 74.85
411.0, 0.1248, 75.02
412.0, 0.1238, 75.20
413.0, 0.1225, 75.42
414.0, 0.1214, 75.62
415.0, 0.1202, 75.82
416.0, 0.1190, 76.03
417.0, 0.1180, 76.20
418.0, 0.1169, 76.40
419.0, 0.1158, 76.59
420.0, 0.1149, 76.75
421.0, 0.1139, 76.93
422.0, 0.1128, 77.12
423.0, 0.1119, 77.28
424.0, 0.1110, 77.44
425.0, 0.1102, 77.59
426.0, 0.1091, 77.78
427.0, 0.1081, 77.96
428.0, 0.1073, 78.11
429.0, 0.1063, 78.28
430.0, 0.1054, 78.45
431.0, 0.1046, 78.60
432.0, 0.1037, 78.76
433.0, 0.1029, 78.91
434.0, 0.1020, 79.07
435.0, 0.1014, 79.18
436.0, 0.1006, 79.32
437.0, 0.0998, 79.46
438.0, 0.0991, 79.60
439.0, 0.0981, 79.78
440.0, 0.0974, 79.90
441.0, 0.0966, 80.06
442.0, 0.0957, 80.22
443.0, 0.0950, 80.35
444.0, 0.0943, 80.48
445.0, 0.0935, 80.63
446.0, 0.0927, 80.77
447.0, 0.0921, 80.89
448.0, 0.0915, 81.00
449.0, 0.0910, 81.09
450.0, 0.0908, 81.13
