Sample Name, Sample-151
Time, February 06 15:49:35 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1604, 6.91
301.0, 1.1129, 7.71
302.0, 1.0486, 8.94
303.0, 0.9752, 10.59
304.0, 0.9000, 12.59
305.0, 0.8175, 15.22
306.0, 0.7298, 18.63
307.0, 0.6539, 22.19
308.0, 0.5890, 25.76
309.0, 0.5363, 29.09
310.0, 0.4918, 32.23
311.0, 0.4550, 35.08
312.0, 0.4264, 37.46
313.0, 0.4033, 39.51
314.0, 0.3850, 41.21
315.0, 0.3703, 42.63
316.0, 0.3583, 43.82
317.0, 0.3471, 44.96
318.0, 0.3367, 46.06
319.0, 0.3278, 47.01
320.0, 0.3198, 47.89
321.0, 0.3132, 48.62
322.0, 0.3070, 49.32
323.0, 0.3010, 50.01
324.0, 0.2953, 50.66
325.0, 0.2900, 51.28
326.0, 0.2852, 51.85
327.0, 0.2805, 52.42
328.0, 0.2760, 52.97
329.0, 0.2715, 53.52
330.0, 0.2689, 53.84
331.0, 0.2608, 54.85
332.0, 0.2556, 55.52
333.0, 0.2507, 56.15
334.0, 0.2459, 56.77
335.0, 0.2411, 57.41
336.0, 0.2360, 58.07
337.0, 0.2316, 58.66
338.0, 0.2272, 59.27
339.0, 0.2243, 59.66
340.0, 0.1906, 64.47
341.0, 0.1880, 64.86
342.0, 0.1851, 65.29
343.0, 0.1825, 65.68
344.0, 0.1798, 66.10
345.0, 0.1775, 66.45
346.0, 0.1750, 66.84
347.0, 0.1727, 67.19
348.0, 0.1704, 67.54
349.0, 0.1677, 67.97
350.0, 0.1659, 68.25
351.0, 0.1637, 68.60
352.0, 0.1616, 68.92
353.0, 0.1588, 69.38
354.0, 0.1560, 69.82
355.0, 0.1533, 70.26
356.0, 0.1509, 70.65
357.0, 0.1478, 71.15
358.0, 0.1452, 71.58
359.0, 0.1422, 72.08
360.0, 0.1392, 72.57
361.0, 0.1369, 72.97
362.0, 0.1345, 73.36
363.0, 0.1327, 73.66
364.0, 0.1306, 74.02
365.0, 0.1285, 74.38
366.0, 0.1253, 74.94
367.0, 0.1225, 75.43
368.0, 0.1195, 75.95
369.0, 0.1167, 76.44
370.0, 0.1149, 76.75
371.0, 0.1193, 75.97
372.0, 0.1176, 76.29
373.0, 0.1159, 76.58
374.0, 0.1142, 76.87
375.0, 0.1132, 77.06
376.0, 0.1114, 77.37
377.0, 0.1099, 77.65
378.0, 0.1082, 77.95
379.0, 0.1067, 78.22
380.0, 0.1050, 78.53
381.0, 0.1036, 78.79
382.0, 0.1023, 79.01
383.0, 0.1008, 79.29
384.0, 0.1000, 79.44
385.0, 0.0982, 79.75
386.0, 0.0968, 80.02
387.0, 0.0955, 80.26
388.0, 0.0943, 80.49
389.0, 0.0929, 80.74
390.0, 0.0916, 80.99
391.0, 0.0902, 81.24
392.0, 0.0891, 81.45
393.0, 0.0880, 81.66
394.0, 0.0868, 81.88
395.0, 0.0856, 82.11
396.0, 0.0842, 82.37
397.0, 0.0830, 82.60
398.0, 0.0821, 82.77
399.0, 0.0809, 83.00
400.0, 0.0799, 83.19
401.0, 0.0790, 83.37
402.0, 0.0779, 83.57
403.0, 0.0769, 83.77
404.0, 0.0760, 83.95
405.0, 0.0748, 84.19
406.0, 0.0739, 84.36
407.0, 0.0730, 84.53
408.0, 0.0720, 84.73
409.0, 0.0710, 84.92
410.0, 0.0703, 85.06
411.0, 0.0697, 85.18
412.0, 0.0689, 85.34
413.0, 0.0681, 85.49
414.0, 0.0672, 85.66
415.0, 0.0663, 85.84
416.0, 0.0655, 86.00
417.0, 0.0648, 86.15
418.0, 0.0640, 86.29
419.0, 0.0634, 86.42
420.0, 0.0627, 86.55
421.0, 0.0619, 86.73
422.0, 0.0613, 86.84
423.0, 0.0607, 86.95
424.0, 0.0601, 87.08
425.0, 0.0595, 87.19
426.0, 0.0589, 87.32
427.0, 0.0583, 87.44
428.0, 0.0577, 87.55
429.0, 0.0572, 87.67
430.0, 0.0565, 87.79
431.0, 0.0558, 87.93
432.0, 0.0553, 88.04
433.0, 0.0548, 88.15
434.0, 0.0542, 88.27
435.0, 0.0538, 88.36
436.0, 0.0533, 88.45
437.0, 0.0527, 88.57
438.0, 0.0522, 88.68
439.0, 0.0517, 88.78
440.0, 0.0510, 88.93
441.0, 0.0506, 88.99
442.0, 0.0501, 89.10
443.0, 0.0494, 89.25
444.0, 0.0490, 89.32
445.0, 0.0485, 89.43
446.0, 0.0482, 89.49
447.0, 0.0476, 89.61
448.0, 0.0472, 89.70
449.0, 0.0470, 89.73
450.0, 0.0468, 89.78
