Sample Name, Sample-31
Time, February 13 17:04:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5588, 0.28
231.0, 2.5684, 0.27
232.0, 2.5682, 0.27
233.0, 2.5817, 0.26
234.0, 2.5860, 0.26
235.0, 2.5929, 0.26
236.0, 2.6019, 0.25
237.0, 2.6011, 0.25
238.0, 2.6006, 0.25
239.0, 2.5938, 0.25
240.0, 2.5865, 0.26
241.0, 2.5863, 0.26
242.0, 2.5861, 0.26
243.0, 2.5823, 0.26
244.0, 2.5837, 0.26
245.0, 2.5591, 0.28
246.0, 2.5610, 0.27
247.0, 2.5438, 0.29
248.0, 2.5471, 0.28
249.0, 2.5283, 0.30
250.0, 2.5328, 0.29
251.0, 2.5049, 0.31
252.0, 2.4954, 0.32
253.0, 2.5012, 0.32
254.0, 2.4903, 0.32
255.0, 2.4817, 0.33
256.0, 2.4659, 0.34
257.0, 2.4603, 0.35
258.0, 2.4612, 0.35
259.0, 2.4440, 0.36
260.0, 2.4436, 0.36
261.0, 2.4280, 0.37
262.0, 2.4157, 0.38
263.0, 2.4023, 0.40
264.0, 2.3939, 0.40
265.0, 2.3868, 0.41
266.0, 2.3680, 0.43
267.0, 2.3673, 0.43
268.0, 2.3572, 0.44
269.0, 2.3465, 0.45
270.0, 2.3397, 0.46
271.0, 2.3345, 0.46
272.0, 2.3269, 0.47
273.0, 2.3192, 0.48
274.0, 2.3146, 0.48
275.0, 2.3144, 0.48
276.0, 2.2985, 0.50
277.0, 2.2998, 0.50
278.0, 2.2907, 0.51
279.0, 2.2862, 0.52
280.0, 2.2896, 0.51
281.0, 2.2799, 0.52
282.0, 2.2797, 0.53
283.0, 2.2751, 0.53
284.0, 2.2723, 0.53
285.0, 2.2661, 0.54
286.0, 2.2710, 0.54
287.0, 2.2549, 0.56
288.0, 2.2526, 0.56
289.0, 2.2450, 0.57
290.0, 2.2435, 0.57
291.0, 2.2403, 0.58
292.0, 2.2374, 0.58
293.0, 2.2325, 0.59
294.0, 2.2218, 0.60
295.0, 2.2247, 0.60
296.0, 2.2205, 0.60
297.0, 2.2177, 0.61
298.0, 2.2106, 0.62
299.0, 2.1681, 0.68
300.0, 2.1015, 0.79
301.0, 1.9732, 1.06
302.0, 1.8053, 1.57
303.0, 1.6122, 2.44
304.0, 1.4140, 3.85
305.0, 1.2274, 5.92
306.0, 1.0534, 8.84
307.0, 0.9134, 12.21
308.0, 0.8011, 15.81
309.0, 0.7080, 19.59
310.0, 0.6324, 23.31
311.0, 0.5707, 26.87
312.0, 0.5228, 30.01
313.0, 0.4856, 32.69
314.0, 0.4578, 34.85
315.0, 0.4360, 36.64
316.0, 0.4172, 38.27
317.0, 0.4016, 39.67
318.0, 0.3875, 40.97
319.0, 0.3759, 42.08
320.0, 0.3660, 43.05
321.0, 0.3577, 43.88
322.0, 0.3506, 44.60
323.0, 0.3438, 45.31
324.0, 0.3373, 46.00
325.0, 0.3316, 46.60
326.0, 0.3266, 47.14
327.0, 0.3219, 47.66
328.0, 0.3167, 48.22
329.0, 0.3123, 48.72
330.0, 0.3094, 49.04
331.0, 0.3019, 49.90
332.0, 0.2969, 50.48
333.0, 0.2921, 51.04
334.0, 0.2871, 51.63
335.0, 0.2822, 52.21
336.0, 0.2773, 52.81
337.0, 0.2728, 53.36
338.0, 0.2688, 53.85
339.0, 0.2667, 54.12
340.0, 0.2556, 55.51
341.0, 0.2511, 56.09
342.0, 0.2470, 56.63
343.0, 0.2426, 57.20
344.0, 0.2384, 57.75
345.0, 0.2340, 58.34
346.0, 0.2301, 58.87
347.0, 0.2260, 59.43
348.0, 0.2220, 59.99
349.0, 0.2183, 60.49
350.0, 0.2148, 60.98
351.0, 0.2112, 61.48
352.0, 0.2080, 61.94
353.0, 0.2046, 62.44
354.0, 0.2005, 63.02
355.0, 0.1967, 63.57
356.0, 0.1936, 64.04
357.0, 0.1900, 64.56
358.0, 0.1867, 65.06
359.0, 0.1836, 65.52
360.0, 0.1801, 66.06
