Sample Name, Sample-32
Time, February 13 17:05:37 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5421, 0.29
231.0, 2.5630, 0.27
232.0, 2.5724, 0.27
233.0, 2.5819, 0.26
234.0, 2.5811, 0.26
235.0, 2.5819, 0.26
236.0, 2.5719, 0.27
237.0, 2.5954, 0.25
238.0, 2.5912, 0.26
239.0, 2.5800, 0.26
240.0, 2.5812, 0.26
241.0, 2.5799, 0.26
242.0, 2.5748, 0.27
243.0, 2.5758, 0.27
244.0, 2.5672, 0.27
245.0, 2.5581, 0.28
246.0, 2.5424, 0.29
247.0, 2.5438, 0.29
248.0, 2.5308, 0.29
249.0, 2.5247, 0.30
250.0, 2.5125, 0.31
251.0, 2.5102, 0.31
252.0, 2.5019, 0.31
253.0, 2.4975, 0.32
254.0, 2.4793, 0.33
255.0, 2.4734, 0.34
256.0, 2.4488, 0.36
257.0, 2.4489, 0.36
258.0, 2.4453, 0.36
259.0, 2.4328, 0.37
260.0, 2.4167, 0.38
261.0, 2.4120, 0.39
262.0, 2.4056, 0.39
263.0, 2.3982, 0.40
264.0, 2.3781, 0.42
265.0, 2.3687, 0.43
266.0, 2.3647, 0.43
267.0, 2.3564, 0.44
268.0, 2.3447, 0.45
269.0, 2.3336, 0.46
270.0, 2.3299, 0.47
271.0, 2.3246, 0.47
272.0, 2.3150, 0.48
273.0, 2.3010, 0.50
274.0, 2.3000, 0.50
275.0, 2.3011, 0.50
276.0, 2.2968, 0.50
277.0, 2.2902, 0.51
278.0, 2.2778, 0.53
279.0, 2.2782, 0.53
280.0, 2.2739, 0.53
281.0, 2.2725, 0.53
282.0, 2.2713, 0.54
283.0, 2.2674, 0.54
284.0, 2.2597, 0.55
285.0, 2.2559, 0.55
286.0, 2.2519, 0.56
287.0, 2.2483, 0.56
288.0, 2.2433, 0.57
289.0, 2.2452, 0.57
290.0, 2.2326, 0.59
291.0, 2.2321, 0.59
292.0, 2.2266, 0.59
293.0, 2.2246, 0.60
294.0, 2.2202, 0.60
295.0, 2.2159, 0.61
296.0, 2.2173, 0.61
297.0, 2.1992, 0.63
298.0, 2.1952, 0.64
299.0, 2.1666, 0.68
300.0, 2.0962, 0.80
301.0, 1.9803, 1.05
302.0, 1.8117, 1.54
303.0, 1.6213, 2.39
304.0, 1.4252, 3.76
305.0, 1.2361, 5.81
306.0, 1.0616, 8.68
307.0, 0.9196, 12.03
308.0, 0.8060, 15.63
309.0, 0.7118, 19.42
310.0, 0.6341, 23.22
311.0, 0.5720, 26.79
312.0, 0.5245, 29.89
313.0, 0.4866, 32.61
314.0, 0.4585, 34.79
315.0, 0.4369, 36.57
316.0, 0.4176, 38.23
317.0, 0.4015, 39.68
318.0, 0.3874, 40.99
319.0, 0.3758, 42.09
320.0, 0.3656, 43.09
321.0, 0.3571, 43.94
322.0, 0.3497, 44.70
323.0, 0.3430, 45.40
324.0, 0.3363, 46.10
325.0, 0.3306, 46.70
326.0, 0.3255, 47.26
327.0, 0.3209, 47.76
328.0, 0.3160, 48.30
329.0, 0.3116, 48.80
330.0, 0.3086, 49.14
331.0, 0.3008, 50.02
332.0, 0.2959, 50.59
333.0, 0.2911, 51.15
334.0, 0.2864, 51.71
335.0, 0.2815, 52.30
336.0, 0.2767, 52.88
337.0, 0.2719, 53.47
338.0, 0.2680, 53.95
339.0, 0.2657, 54.24
340.0, 0.2545, 55.66
341.0, 0.2498, 56.26
342.0, 0.2453, 56.84
343.0, 0.2411, 57.40
344.0, 0.2372, 57.91
345.0, 0.2329, 58.49
346.0, 0.2287, 59.06
347.0, 0.2244, 59.65
348.0, 0.2206, 60.17
349.0, 0.2168, 60.70
350.0, 0.2137, 61.14
351.0, 0.2101, 61.65
352.0, 0.2069, 62.10
353.0, 0.2034, 62.60
354.0, 0.1994, 63.18
355.0, 0.1955, 63.75
356.0, 0.1920, 64.27
357.0, 0.1888, 64.74
358.0, 0.1854, 65.26
359.0, 0.1820, 65.76
360.0, 0.1786, 66.28
361.0, 0.1755, 66.77
362.0, 0.1725, 67.22
363.0, 0.1698, 67.65
364.0, 0.1668, 68.11
365.0, 0.1637, 68.59
366.0, 0.1607, 69.07
367.0, 0.1579, 69.52
368.0, 0.1551, 69.97
369.0, 0.1526, 70.38
370.0, 0.1516, 70.53
371.0, 0.1480, 71.13
372.0, 0.1452, 71.58
373.0, 0.1428, 71.98
374.0, 0.1404, 72.37
375.0, 0.1382, 72.75
376.0, 0.1362, 73.09
377.0, 0.1338, 73.48
378.0, 0.1314, 73.89
379.0, 0.1290, 74.30
380.0, 0.1268, 74.67
381.0, 0.1244, 75.09
382.0, 0.1225, 75.43
383.0, 0.1204, 75.78
384.0, 0.1192, 75.99
385.0, 0.1161, 76.55
386.0, 0.1143, 76.86
387.0, 0.1125, 77.18
388.0, 0.1105, 77.54
389.0, 0.1090, 77.81
390.0, 0.1070, 78.16
391.0, 0.1052, 78.49
392.0, 0.1033, 78.83
