Sample Name, Sample-133
Time, February 06 15:26:56 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0345, 9.24
301.0, 0.9613, 10.93
302.0, 0.8863, 12.99
303.0, 0.8158, 15.28
304.0, 0.7528, 17.67
305.0, 0.6893, 20.45
306.0, 0.6287, 23.51
307.0, 0.5779, 26.43
308.0, 0.5357, 29.13
309.0, 0.5011, 31.54
310.0, 0.4725, 33.69
311.0, 0.4482, 35.63
312.0, 0.4289, 37.25
313.0, 0.4135, 38.59
314.0, 0.4010, 39.72
315.0, 0.3902, 40.72
316.0, 0.3814, 41.55
317.0, 0.3726, 42.40
318.0, 0.3644, 43.21
319.0, 0.3568, 43.97
320.0, 0.3497, 44.70
321.0, 0.3436, 45.33
322.0, 0.3376, 45.96
323.0, 0.3318, 46.58
324.0, 0.3262, 47.18
325.0, 0.3209, 47.76
326.0, 0.3159, 48.32
327.0, 0.3111, 48.86
328.0, 0.3063, 49.39
329.0, 0.3015, 49.95
330.0, 0.2987, 50.27
331.0, 0.2901, 51.28
332.0, 0.2844, 51.95
333.0, 0.2794, 52.56
334.0, 0.2740, 53.21
335.0, 0.2688, 53.85
336.0, 0.2638, 54.48
337.0, 0.2587, 55.12
338.0, 0.2540, 55.71
339.0, 0.2507, 56.14
340.0, 0.2124, 61.32
341.0, 0.2095, 61.73
342.0, 0.2068, 62.12
343.0, 0.2041, 62.50
344.0, 0.2020, 62.81
345.0, 0.1989, 63.26
346.0, 0.1968, 63.57
347.0, 0.1943, 63.93
348.0, 0.1919, 64.28
349.0, 0.1897, 64.61
350.0, 0.1877, 64.90
351.0, 0.1851, 65.30
352.0, 0.1825, 65.69
353.0, 0.1800, 66.07
354.0, 0.1771, 66.52
355.0, 0.1743, 66.94
356.0, 0.1715, 67.37
357.0, 0.1686, 67.83
358.0, 0.1655, 68.31
359.0, 0.1624, 68.80
360.0, 0.1594, 69.28
361.0, 0.1568, 69.70
362.0, 0.1544, 70.09
363.0, 0.1521, 70.45
364.0, 0.1494, 70.90
365.0, 0.1471, 71.27
366.0, 0.1435, 71.86
367.0, 0.1402, 72.41
368.0, 0.1371, 72.92
369.0, 0.1340, 73.46
370.0, 0.1322, 73.75
371.0, 0.1374, 72.88
372.0, 0.1354, 73.21
373.0, 0.1334, 73.55
374.0, 0.1319, 73.82
375.0, 0.1302, 74.10
376.0, 0.1283, 74.42
377.0, 0.1266, 74.72
378.0, 0.1246, 75.07
379.0, 0.1228, 75.36
380.0, 0.1210, 75.69
381.0, 0.1195, 75.94
382.0, 0.1179, 76.22
383.0, 0.1162, 76.53
384.0, 0.1154, 76.66
385.0, 0.1135, 77.00
386.0, 0.1120, 77.27
387.0, 0.1105, 77.54
388.0, 0.1090, 77.80
389.0, 0.1075, 78.07
390.0, 0.1060, 78.34
391.0, 0.1046, 78.60
392.0, 0.1033, 78.84
393.0, 0.1020, 79.07
394.0, 0.1004, 79.36
395.0, 0.0991, 79.60
396.0, 0.0977, 79.86
397.0, 0.0962, 80.12
398.0, 0.0954, 80.29
399.0, 0.0941, 80.51
400.0, 0.0929, 80.74
401.0, 0.0917, 80.97
402.0, 0.0906, 81.18
403.0, 0.0895, 81.38
404.0, 0.0882, 81.63
405.0, 0.0871, 81.83
406.0, 0.0859, 82.05
407.0, 0.0847, 82.27
408.0, 0.0836, 82.49
409.0, 0.0825, 82.69
410.0, 0.0818, 82.84
411.0, 0.0811, 82.97
412.0, 0.0803, 83.12
413.0, 0.0793, 83.31
414.0, 0.0781, 83.54
415.0, 0.0772, 83.72
416.0, 0.0763, 83.89
417.0, 0.0754, 84.07
418.0, 0.0747, 84.20
419.0, 0.0739, 84.35
420.0, 0.0730, 84.53
421.0, 0.0722, 84.69
422.0, 0.0714, 84.84
423.0, 0.0708, 84.97
424.0, 0.0700, 85.12
425.0, 0.0693, 85.26
426.0, 0.0685, 85.40
427.0, 0.0679, 85.53
428.0, 0.0671, 85.68
429.0, 0.0663, 85.83
430.0, 0.0657, 85.96
431.0, 0.0649, 86.12
432.0, 0.0641, 86.27
433.0, 0.0634, 86.41
434.0, 0.0628, 86.55
435.0, 0.0622, 86.65
436.0, 0.0618, 86.74
437.0, 0.0611, 86.87
438.0, 0.0604, 87.01
439.0, 0.0598, 87.14
440.0, 0.0590, 87.30
441.0, 0.0585, 87.40
442.0, 0.0579, 87.51
443.0, 0.0571, 87.67
444.0, 0.0566, 87.78
445.0, 0.0560, 87.90
446.0, 0.0554, 88.02
447.0, 0.0549, 88.13
448.0, 0.0546, 88.18
449.0, 0.0540, 88.30
450.0, 0.0539, 88.34
