Sample Name, Sample-69
Time, February 06 11:42:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9413, 11.45
301.0, 0.8587, 13.85
302.0, 0.7856, 16.38
303.0, 0.7200, 19.05
304.0, 0.6648, 21.64
305.0, 0.6131, 24.37
306.0, 0.5655, 27.20
307.0, 0.5264, 29.76
308.0, 0.4938, 32.07
309.0, 0.4681, 34.04
310.0, 0.4471, 35.72
311.0, 0.4291, 37.23
312.0, 0.4146, 38.49
313.0, 0.4033, 39.51
314.0, 0.3941, 40.36
315.0, 0.3863, 41.08
316.0, 0.3796, 41.72
317.0, 0.3733, 42.33
318.0, 0.3673, 42.92
319.0, 0.3617, 43.48
320.0, 0.3566, 44.00
321.0, 0.3523, 44.44
322.0, 0.3482, 44.86
323.0, 0.3439, 45.30
324.0, 0.3399, 45.72
325.0, 0.3360, 46.13
326.0, 0.3326, 46.50
327.0, 0.3294, 46.84
328.0, 0.3262, 47.18
329.0, 0.3229, 47.55
330.0, 0.3208, 47.77
331.0, 0.3153, 48.38
332.0, 0.3115, 48.81
333.0, 0.3082, 49.18
334.0, 0.3050, 49.54
335.0, 0.3017, 49.92
336.0, 0.2982, 50.33
337.0, 0.2952, 50.68
338.0, 0.2924, 51.01
339.0, 0.2902, 51.26
340.0, 0.2641, 54.44
341.0, 0.2625, 54.64
342.0, 0.2608, 54.85
343.0, 0.2592, 55.05
344.0, 0.2575, 55.27
345.0, 0.2560, 55.46
346.0, 0.2542, 55.70
347.0, 0.2528, 55.87
348.0, 0.2515, 56.05
349.0, 0.2498, 56.25
350.0, 0.2483, 56.46
351.0, 0.2473, 56.59
352.0, 0.2456, 56.80
353.0, 0.2437, 57.06
354.0, 0.2417, 57.33
355.0, 0.2393, 57.63
356.0, 0.2372, 57.92
357.0, 0.2350, 58.20
358.0, 0.2325, 58.55
359.0, 0.2304, 58.84
360.0, 0.2281, 59.14
361.0, 0.2261, 59.42
362.0, 0.2239, 59.72
363.0, 0.2219, 60.00
364.0, 0.2196, 60.31
365.0, 0.2172, 60.65
366.0, 0.2147, 60.99
367.0, 0.2121, 61.36
368.0, 0.2094, 61.75
369.0, 0.2066, 62.15
370.0, 0.2054, 62.32
371.0, 0.2082, 61.92
372.0, 0.2060, 62.23
373.0, 0.2041, 62.51
374.0, 0.2024, 62.75
375.0, 0.2008, 62.98
376.0, 0.1993, 63.19
377.0, 0.1977, 63.43
378.0, 0.1957, 63.72
379.0, 0.1940, 63.98
380.0, 0.1924, 64.21
381.0, 0.1903, 64.52
382.0, 0.1887, 64.75
383.0, 0.1871, 65.00
384.0, 0.1864, 65.10
385.0, 0.1838, 65.50
386.0, 0.1821, 65.75
387.0, 0.1805, 66.00
388.0, 0.1791, 66.21
389.0, 0.1774, 66.47
390.0, 0.1758, 66.72
391.0, 0.1742, 66.96
392.0, 0.1726, 67.20
393.0, 0.1711, 67.43
394.0, 0.1695, 67.68
395.0, 0.1680, 67.92
396.0, 0.1668, 68.11
397.0, 0.1651, 68.37
398.0, 0.1637, 68.60
399.0, 0.1627, 68.76
400.0, 0.1611, 69.00
401.0, 0.1597, 69.23
402.0, 0.1583, 69.46
403.0, 0.1570, 69.67
404.0, 0.1556, 69.89
405.0, 0.1542, 70.11
406.0, 0.1528, 70.34
407.0, 0.1515, 70.55
408.0, 0.1503, 70.74
409.0, 0.1491, 70.94
410.0, 0.1478, 71.15
411.0, 0.1467, 71.34
412.0, 0.1456, 71.51
413.0, 0.1444, 71.71
414.0, 0.1431, 71.93
415.0, 0.1422, 72.07
416.0, 0.1410, 72.27
417.0, 0.1400, 72.45
418.0, 0.1387, 72.67
419.0, 0.1376, 72.85
420.0, 0.1367, 73.00
421.0, 0.1355, 73.19
422.0, 0.1344, 73.38
423.0, 0.1333, 73.57
424.0, 0.1325, 73.71
425.0, 0.1315, 73.87
426.0, 0.1304, 74.06
427.0, 0.1295, 74.22
428.0, 0.1285, 74.39
429.0, 0.1275, 74.55
430.0, 0.1266, 74.72
431.0, 0.1256, 74.88
432.0, 0.1246, 75.06
433.0, 0.1238, 75.20
434.0, 0.1229, 75.35
435.0, 0.1221, 75.50
436.0, 0.1213, 75.64
437.0, 0.1203, 75.81
438.0, 0.1195, 75.95
439.0, 0.1186, 76.09
440.0, 0.1177, 76.26
441.0, 0.1167, 76.43
442.0, 0.1160, 76.56
443.0, 0.1151, 76.72
444.0, 0.1141, 76.89
445.0, 0.1133, 77.03
446.0, 0.1126, 77.17
447.0, 0.1119, 77.28
448.0, 0.1114, 77.37
449.0, 0.1108, 77.49
450.0, 0.1105, 77.54
