Sample Name, Sample-72
Time, February 06 11:46:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8703, 13.48
301.0, 0.7842, 16.44
302.0, 0.7067, 19.65
303.0, 0.6410, 22.85
304.0, 0.5857, 25.96
305.0, 0.5335, 29.28
306.0, 0.4855, 32.69
307.0, 0.4470, 35.73
308.0, 0.4152, 38.44
309.0, 0.3900, 40.73
310.0, 0.3695, 42.70
311.0, 0.3525, 44.41
312.0, 0.3391, 45.81
313.0, 0.3281, 46.98
314.0, 0.3197, 47.90
315.0, 0.3126, 48.69
316.0, 0.3067, 49.35
317.0, 0.3013, 49.97
318.0, 0.2960, 50.59
319.0, 0.2914, 51.12
320.0, 0.2871, 51.63
321.0, 0.2835, 52.06
322.0, 0.2802, 52.46
323.0, 0.2769, 52.85
324.0, 0.2738, 53.24
325.0, 0.2707, 53.61
326.0, 0.2679, 53.96
327.0, 0.2653, 54.28
328.0, 0.2628, 54.61
329.0, 0.2605, 54.90
330.0, 0.2591, 55.06
331.0, 0.2546, 55.64
332.0, 0.2519, 55.99
333.0, 0.2494, 56.32
334.0, 0.2468, 56.65
335.0, 0.2443, 56.98
336.0, 0.2416, 57.33
337.0, 0.2391, 57.66
338.0, 0.2371, 57.93
339.0, 0.2354, 58.15
340.0, 0.2163, 60.77
341.0, 0.2151, 60.94
342.0, 0.2136, 61.16
343.0, 0.2125, 61.31
344.0, 0.2115, 61.44
345.0, 0.2097, 61.70
346.0, 0.2084, 61.89
347.0, 0.2074, 62.03
348.0, 0.2064, 62.17
349.0, 0.2050, 62.37
350.0, 0.2035, 62.59
351.0, 0.2026, 62.71
352.0, 0.2014, 62.90
353.0, 0.1997, 63.14
354.0, 0.1982, 63.35
355.0, 0.1965, 63.60
356.0, 0.1950, 63.83
357.0, 0.1932, 64.09
358.0, 0.1914, 64.36
359.0, 0.1893, 64.67
360.0, 0.1879, 64.89
361.0, 0.1863, 65.11
362.0, 0.1844, 65.41
363.0, 0.1831, 65.60
364.0, 0.1817, 65.81
365.0, 0.1799, 66.09
366.0, 0.1781, 66.36
367.0, 0.1763, 66.63
368.0, 0.1743, 66.94
369.0, 0.1723, 67.26
370.0, 0.1711, 67.44
371.0, 0.1722, 67.27
372.0, 0.1704, 67.55
373.0, 0.1690, 67.76
374.0, 0.1677, 67.97
375.0, 0.1663, 68.18
376.0, 0.1654, 68.33
377.0, 0.1640, 68.55
378.0, 0.1623, 68.82
379.0, 0.1609, 69.04
380.0, 0.1594, 69.28
381.0, 0.1580, 69.50
382.0, 0.1569, 69.68
383.0, 0.1555, 69.90
384.0, 0.1548, 70.01
385.0, 0.1527, 70.35
386.0, 0.1515, 70.54
387.0, 0.1503, 70.75
388.0, 0.1493, 70.90
389.0, 0.1480, 71.12
390.0, 0.1469, 71.30
391.0, 0.1456, 71.52
392.0, 0.1443, 71.73
393.0, 0.1433, 71.90
394.0, 0.1420, 72.11
395.0, 0.1407, 72.33
396.0, 0.1398, 72.48
397.0, 0.1386, 72.68
398.0, 0.1374, 72.87
399.0, 0.1365, 73.02
400.0, 0.1355, 73.19
401.0, 0.1344, 73.39
402.0, 0.1332, 73.58
403.0, 0.1323, 73.74
404.0, 0.1312, 73.92
405.0, 0.1302, 74.09
406.0, 0.1291, 74.29
407.0, 0.1281, 74.45
408.0, 0.1273, 74.60
409.0, 0.1265, 74.74
410.0, 0.1255, 74.91
411.0, 0.1248, 75.03
412.0, 0.1238, 75.20
413.0, 0.1228, 75.37
414.0, 0.1219, 75.53
415.0, 0.1210, 75.68
416.0, 0.1202, 75.82
417.0, 0.1193, 75.97
418.0, 0.1184, 76.13
419.0, 0.1176, 76.28
420.0, 0.1168, 76.41
421.0, 0.1159, 76.57
422.0, 0.1151, 76.72
423.0, 0.1143, 76.86
424.0, 0.1136, 76.99
425.0, 0.1128, 77.12
426.0, 0.1121, 77.26
427.0, 0.1113, 77.39
428.0, 0.1107, 77.50
429.0, 0.1100, 77.62
430.0, 0.1092, 77.76
431.0, 0.1084, 77.91
432.0, 0.1077, 78.03
433.0, 0.1070, 78.16
434.0, 0.1064, 78.28
435.0, 0.1058, 78.39
436.0, 0.1050, 78.53
437.0, 0.1043, 78.64
438.0, 0.1037, 78.76
439.0, 0.1030, 78.89
440.0, 0.1024, 78.99
441.0, 0.1018, 79.11
442.0, 0.1012, 79.21
443.0, 0.1004, 79.35
444.0, 0.0999, 79.46
445.0, 0.0992, 79.57
446.0, 0.0986, 79.69
447.0, 0.0980, 79.80
448.0, 0.0976, 79.88
449.0, 0.0971, 79.96
450.0, 0.0967, 80.03
